instrument,idx,ts,last_close,pred_ret,gen_sd,gen_distinct,p_up,pred_rv
EURAUD,1152,2024-09-05 00:00:00,1.64788,-0.0001297521012073588,0.0009878110315875157,12,0.3333333333333333,
EURCAD,1152,2024-09-05 00:00:00,1.49658,-0.0002212132641506992,0.00038576551629734525,8,0.2,
EURCHF,1152,2024-09-05 00:00:00,0.93827,0.00020594595863321352,0.0002711715133980488,8,0.9666666666666667,
EURGBP,1152,2024-09-05 00:00:00,0.84287,-0.00028280507122702137,0.00022422167421632384,6,0.06666666666666667,
EURJPY,1152,2024-09-05 00:00:00,159.177,0.0005411512632818027,0.20804502899475277,9,0.6,
EURUSD,1152,2024-09-05 00:00:00,1.10819,-4.253000137610652e-05,0.0004473388779516454,3,0.5333333333333333,
GBPAUD,1152,2024-09-05 00:00:00,1.95481,-0.0002273391369068678,0.0007360279487980987,10,0.36666666666666664,
GBPJPY,1152,2024-09-05 00:00:00,188.815,0.00015971913766299473,0.10965140912657867,7,0.5666666666666667,
GBPUSD,1152,2024-09-05 00:00:00,1.31457,-0.00020345829781642788,0.0005658388137817382,2,0.0,
JPYUSD,1152,2024-09-05 00:00:00,0.0069620429418808,-0.0004729227195708896,9.612966316876387e-06,12,0.36666666666666664,
NZDJPY,1152,2024-09-05 00:00:00,89.033,-0.0005016060902789388,0.10822218402763664,7,0.3,
NZDUSD,1152,2024-09-05 00:00:00,0.61986,-0.0010567094468911797,0.0004611500948529034,2,0.0,
AUDJPY,1153,2024-09-05 01:00:00,96.547,0.00047275657624434864,0.12072774114250068,13,0.7333333333333333,
AUDNZD,1153,2024-09-05 01:00:00,1.08447,0.0002488000486986497,0.0004252935484851656,10,0.7,
AUDUSD,1153,2024-09-05 01:00:00,0.67224,-0.00019851225154177143,0.00038643196706871516,5,0.3333333333333333,
CADJPY,1153,2024-09-05 01:00:00,106.35,0.001027042524621491,0.15758752314680274,16,0.7666666666666667,
CADUSD,1153,2024-09-05 01:00:00,0.7405377785347719,0.00012589447307598256,0.0001706231138431934,4,0.6666666666666666,
CHFJPY,1153,2024-09-05 01:00:00,169.708,0.00029060571825945125,0.10421776161149338,11,0.8,
CHFUSD,1153,2024-09-05 01:00:00,1.181879424661096,-0.0008061868257521754,0.0006709252998272219,6,0.16666666666666666,
EURAUD,1153,2024-09-05 01:00:00,1.64874,0.00019973869858502802,0.000678847559902439,13,0.6333333333333333,
EURCAD,1153,2024-09-05 01:00:00,1.49668,0.00018056822490475355,0.00045613026718786565,8,0.6666666666666666,
EURCHF,1153,2024-09-05 01:00:00,0.93791,0.0007905347795171824,0.0005105159775650322,11,0.9333333333333333,
EURGBP,1153,2024-09-05 01:00:00,0.8431,-0.0002904663927514317,0.00024731025746313094,6,0.23333333333333334,
EURJPY,1153,2024-09-05 01:00:00,159.192,0.001026076180357105,0.24831514334073246,10,0.7666666666666667,
EURUSD,1153,2024-09-05 01:00:00,1.10843,-0.0002562470166782571,0.0004076248726042264,3,0.43333333333333335,
GBPAUD,1153,2024-09-05 01:00:00,1.95531,0.00014093881655741214,0.001073614141572427,9,0.6,
GBPJPY,1153,2024-09-05 01:00:00,188.796,0.00015377198050137153,0.17530195634364307,8,0.5666666666666667,
GBPUSD,1153,2024-09-05 01:00:00,1.31456,-0.0001374946925902787,0.0004673015740168293,2,0.0,
JPYUSD,1153,2024-09-05 01:00:00,0.006962770068444,-0.0004058135116273842,7.6202425479665855e-06,10,0.23333333333333334,
NZDJPY,1153,2024-09-05 01:00:00,89.008,0.0002860072074954978,0.10637118497228164,13,0.5,
NZDUSD,1153,2024-09-05 01:00:00,0.61972,0.00017330992198472117,0.0004696125096527376,3,0.7,
AUDJPY,1324,2024-09-16 04:00:00,94.249,-2.1086871853093214e-05,0.09138063254706184,3,0.3,
AUDNZD,1324,2024-09-16 04:00:00,1.08944,-0.0002119878773214623,0.0003239434723466204,15,0.3,
AUDUSD,1324,2024-09-16 04:00:00,0.6706,0.00044979467485828373,0.00030444625825979955,10,0.9666666666666667,
CADJPY,1324,2024-09-16 04:00:00,103.499,0.00040607730481156956,0.09124362894886656,5,0.8333333333333334,
CADUSD,1324,2024-09-16 04:00:00,0.7365234619548805,-0.00025203453067923487,0.00016881838157546482,6,0.1,
CHFJPY,1324,2024-09-16 04:00:00,165.882,7.314539390512742e-05,0.12174920629973282,6,0.6666666666666666,
CHFUSD,1324,2024-09-16 04:00:00,1.1805399789863884,0.0005223847099145029,0.0009327612042733134,9,0.7666666666666667,
EURAUD,1324,2024-09-16 04:00:00,1.65316,-0.00032250945247935814,0.0008338615261344882,7,0.23333333333333334,
EURCAD,1324,2024-09-16 04:00:00,1.5053999999999998,-4.1255504942050436e-05,0.00025742680249064723,3,0.06666666666666667,
EURCHF,1324,2024-09-16 04:00:00,0.93924,-0.000277505755524321,0.00042680772669621814,7,0.13333333333333333,
EURGBP,1324,2024-09-16 04:00:00,0.84374,-1.4658113118737326e-05,0.0001225337948358399,4,0.23333333333333334,
EURJPY,1324,2024-09-16 04:00:00,155.824,0.0004594331976282007,0.12378868263590839,3,0.9666666666666667,
EURUSD,1324,2024-09-16 04:00:00,1.10873,-4.0296315950705264e-07,0.0002443383299245094,12,0.43333333333333335,
GBPAUD,1324,2024-09-16 04:00:00,1.95917,-0.0003260073126862828,0.0004858427239910748,6,0.1,
GBPJPY,1324,2024-09-16 04:00:00,184.665,0.0007853769612866657,0.15509072719611874,3,0.8666666666666667,
GBPUSD,1324,2024-09-16 04:00:00,1.31397,-0.000270409291077911,0.00040664001239545093,3,0.36666666666666664,
JPYUSD,1324,2024-09-16 04:00:00,0.0071155638728591,0.0008426832880210622,6.999325403118714e-06,3,0.8666666666666667,
NZDJPY,1324,2024-09-16 04:00:00,86.495,0.0008076888062231724,0.08560004634788777,4,0.9333333333333333,
NZDUSD,1324,2024-09-16 04:00:00,0.61542,0.0003335061679261564,0.00037036283462150185,10,0.6333333333333333,
