instrument,idx,ts,last_close,pred_ret,gen_sd,gen_distinct,p_up,pred_rv
AUDUSD,10332,2026-02-27 19:00:00,0.71049,0.0004991539792620348,0.0008570935023206327,22,0.6333333333333333,0.001071420869613092
CADJPY,10332,2026-02-27 19:00:00,114.302,-3.107621179698761e-05,0.09443499788370224,18,0.43333333333333335,0.0007760740707171455
CADUSD,10332,2026-02-27 19:00:00,0.7319894007934764,0.00024676678979407285,0.00035049390165178644,29,0.6333333333333333,0.000472426091013163
CHFJPY,10332,2026-02-27 19:00:00,203.138,-0.001501446475534518,0.39975577255927996,28,0.26666666666666666,0.0013208159241522306
CHFUSD,10332,2026-02-27 19:00:00,1.3008468513001965,-0.00034516452912491946,0.001520281402932837,28,0.3333333333333333,0.0010383083823469544
EURAUD,10332,2026-02-27 19:00:00,1.66019,0.000227696079559081,0.0013886995792352142,30,0.7333333333333333,0.000766977531709118
EURCAD,10332,2026-02-27 19:00:00,1.61159,0.0003920458525725756,0.000559207201825558,30,0.8333333333333334,0.00039095803953675793
EURCHF,10332,2026-02-27 19:00:00,0.90684,0.0019879022266535706,0.000835851624653093,29,0.9666666666666667,0.0008801489311571261
EURGBP,10332,2026-02-27 19:00:00,0.87705,-0.00048015766576203767,0.0008232245886317277,27,0.3,0.0006149207794717892
EURJPY,10332,2026-02-27 19:00:00,184.236,0.0004965677540669233,0.12441056738861707,22,0.7,0.0010407949761449817
EURUSD,10332,2026-02-27 19:00:00,1.17964,0.000693783319144714,0.0007074740288487418,30,0.8333333333333334,0.0005248494707559947
GBPAUD,10332,2026-02-27 19:00:00,1.89284,0.0006774573797931893,0.002305850755472247,25,0.6333333333333333,0.0012782155550889363
GBPJPY,10332,2026-02-27 19:00:00,210.05,0.00020025420224834,0.2283255332134709,23,0.6666666666666666,0.0008596558327869721
GBPUSD,10332,2026-02-27 19:00:00,1.34491,0.0006833688606748822,0.001528973034423493,29,0.7666666666666667,0.0009949766549430437
JPYUSD,10332,2026-02-27 19:00:00,0.0064030324761807,-0.00016690464416846407,5.774282097088774e-06,27,0.36666666666666664,0.0009060374646653907
NZDJPY,10332,2026-02-27 19:00:00,93.444,-0.0001867451699152367,0.10556831570113041,30,0.36666666666666664,0.0014282080164999742
NZDUSD,10332,2026-02-27 19:00:00,0.59832,0.0004582510076540647,0.0007499171107258508,30,0.7,0.001128924327647985
AUDJPY,10336,2026-03-01 23:00:00,111.037,-0.000559964224897791,0.17253526055867682,29,0.4666666666666667,0.0014811922946501926
AUDNZD,10336,2026-03-01 23:00:00,1.18648,1.95723150309135e-06,0.0007535016888865079,9,0.6333333333333333,0.0004607435933071932
AUDUSD,10336,2026-03-01 23:00:00,0.7117,1.6934698255921532e-05,0.0007252904482112605,21,0.4666666666666667,0.0010350052428748356
