date,y,ens,garch_frozen,garch_roll,persistence,dow,year,garch_dow
2021-01-08,0.0401108374217255,0.2022480219602584,0.2937606542808586,0.2937337583686904,0.37413759282182,4,2021,0.08976556203715547
2021-01-10,0.5171491225527866,0.2296494990587234,0.2901742137994013,0.2901486361507542,0.0401108374217255,6,2021,0.2860965634768583
2021-01-11,0.4442535688201138,0.2999678254127502,0.2949501249451909,0.2949187383479277,0.5171491225527866,0,2021,0.30345881660248863
2021-01-12,0.403934803180126,0.3409748673439026,0.2971430032315216,0.2971128809897964,0.4442535688201138,1,2021,0.30810852754029805
2021-01-13,0.0403187656399962,0.3377281427383423,0.2984692228418012,0.298435932349041,0.403934803180126,2,2021,0.3224521780094562
2021-01-14,0.6315836539861962,0.2639742493629455,0.2947972498467146,0.2947654653409021,0.0403187656399962,3,2021,0.3460730311128926
2021-01-15,0.0198751180739473,0.2022724598646164,0.303288251278795,0.3032485634688235,0.6315836539861962,4,2021,0.09267694614159577
2021-01-17,0.0049684091992028,0.2289573401212692,0.2994751779865278,0.2994375517742964,0.0198751180739473,6,2021,0.29526682659609527
2021-01-18,0.424734353611447,0.3015030026435852,0.2957265868599537,0.2956907920219698,0.0049684091992028,0,2021,0.30425767781278507
2021-01-19,0.1543152876155153,0.3437906801700592,0.2973871931872728,0.2973529756989254,0.424734353611447,1,2021,0.3083617288840565
2021-01-20,0.476207069182031,0.3360634744167328,0.2944407122950287,0.2944069931423781,0.1543152876155153,2,2021,0.3180999637758654
2021-01-21,0.0320500970409733,0.2630057334899902,0.2975274195787634,0.2974947899383534,0.476207069182031,3,2021,0.34927807496969276
2021-01-22,0.0517783405514955,0.1993308365345001,0.2938339292308189,0.2938032163200381,0.0320500970409733,4,2021,0.08978795294271269
2021-01-24,0.1867890526839795,0.2297752648591995,0.2902824652597452,0.2902530550233738,0.0517783405514955,6,2021,0.28620329374206777
2021-01-25,0.1563670499416009,0.2962112724781036,0.2878364937540487,0.2878069793499086,0.1867890526839795,0,2021,0.2961399720913642
2021-01-26,0.4351416129321855,0.3394164144992828,0.2850176879468722,0.2849902803831234,0.1563670499416009,1,2021,0.2955357494580751
2021-01-27,0.1081380144424216,0.3314060270786285,0.2875963638469958,0.2875647410702742,0.4351416129321855,2,2021,0.3107056500737333
2021-01-28,0.126974721060192,0.2606418430805206,0.2843965464834525,0.2843669792326159,0.1081380144424216,3,2021,0.33386327359140366
2021-01-29,0.0849067931100807,0.1977299153804779,0.2813939164607509,0.2813663675027009,0.126974721060192,4,2021,0.08598661085764603
2021-01-31,0.5358307427340697,0.2238563001155853,0.2782290078074663,0.2782022217024686,0.0849067931100807,6,2021,0.2743192165528539
2021-02-01,0.1518439369568022,0.2943149209022522,0.2841936414941572,0.2841602477512967,0.5358307427340697,0,2021,0.2923920311944082
2021-02-02,0.0855655895794844,0.3364360630512237,0.2814976590865302,0.2814645269766223,0.1518439369568022,1,2021,0.2918858203085931
2021-02-03,0.5700870568041515,0.331641137599945,0.2783345485622172,0.2783022827800798,0.0855655895794844,2,2021,0.3006996183547407
2021-02-04,0.6971629581409728,0.2610914409160614,0.2854908420862987,0.2854514797811719,0.5700870568041515,3,2021,0.33514790632256863
2021-02-05,0.0440014784954152,0.1949146091938018,0.2967847671131025,0.2967441591916104,0.6971629581409728,4,2021,0.09068965171388463
2021-02-07,0.0498115473463635,0.2205583155155182,0.293154049086208,0.2931150287474027,0.0440014784954152,6,2021,0.2890345248626065
2021-02-08,0.5784835739226416,0.2925311923027038,0.2895797386592887,0.2895427755101788,0.0498115473463635,0,2021,0.2979335059509981
2021-02-09,0.0057765546168713,0.3416497409343719,0.2961053821541213,0.2960685867656721,0.5784835739226416,1,2021,0.30703261493651557
2021-02-10,0.1080488221811195,0.3319591283798218,0.2924181376803201,0.2923831051481953,0.0057765546168713,2,2021,0.31591486883210596
2021-02-11,0.0948457590512889,0.2616555690765381,0.289124495848682,0.289091646617553,0.1080488221811195,3,2021,0.33941358238371444
2021-02-12,0.0206262969515323,0.1951422095298767,0.2858699929180197,0.2858380512670825,0.0948457590512889,4,2021,0.08735438258967608
2021-02-14,0.0387659244135389,0.2153987437486648,0.2823735444109198,0.2823432830516938,0.0206262969515323,6,2021,0.27840551238157907
2021-02-15,0.2030692206074436,0.2757624685764313,0.2789703044352774,0.2789417375122699,0.0387659244135389,0,2021,0.28701801183131037
