month_end,pair,country,price,for_policy_rate,for_rate_3m,for_yield_10y,for_curve_slope,for_cpi_yoy_pct,for_unemployment_rate,for_rate_change_3m,us_policy_rate,us_rate_3m,us_yield_10y,us_curve_slope,us_cpi_yoy_pct,us_unemployment_rate,us_rate_change_3m,vix_level,us_equity_1m_return,own_return_1m,own_return_3m,own_return_12m,fwd_logret_1m,y_1m,fwd_logret_3m,y_3m
2002-04-30,CHFUSD,CH,0.61667488899852,1.51,1.46064661904762,3.528,2.06735338095238,,,-0.1399999999999999,1.75,1.87,5.21,3.34,1.3045944412932498,,-0.07000000000000006,21.91,3.150357394454195,3.6570245395103065,5.832941024505894,6.730587127201409,0.03278365609311523,1,0.08914398080822356,1.0
2002-04-30,EURUSD,EZ,0.9002,3.3162,3.40690476190476,5.29724245454545,1.8903376926406898,,,-0.022700000000000387,1.75,1.87,5.21,3.34,1.3045944412932498,,-0.07000000000000006,21.91,3.150357394454195,3.2171632841301925,4.638248951793752,1.4321121914023238,0.036752405256839815,1,0.08452736421918039,1.0
2002-04-30,GBPUSD,GB,1.4565,3.752,4.17319,5.2331,1.0599100000000004,,,-0.8321000000000005,1.75,1.87,5.21,3.34,1.3045944412932498,,-0.07000000000000006,21.91,3.150357394454195,2.186448369673827,3.1029158346301875,1.794236072520572,0.00411100270652226,1,0.07025080521106736,1.0
2002-04-30,JPYUSD,JP,0.007785130400934217,0.00148,0.1,1.394,1.2939999999999998,,,-0.0003600000000000001,1.75,1.87,5.21,3.34,1.3045944412932498,,-0.07000000000000006,21.91,3.150357394454195,3.2551217782269326,4.274773737391868,-3.873192643979362,0.03421032002803681,1,0.06996648659647775,1.0
2002-04-30,NOKUSD,NO,0.1189767995240928,6.83,6.77,6.71,-0.05999999999999961,,,-0.28000000000000025,1.75,1.87,5.21,3.34,1.3045944412932498,,-0.07000000000000006,21.91,3.150357394454195,5.192961776833327,8.03263813409143,7.955753073464011,0.049072773998697805,1,0.0980503971620239,1.0
2002-04-30,NZDUSD,NZ,0.4472,5.11,5.68,6.87,1.1900000000000004,,,0.3600000000000003,1.75,1.87,5.21,3.34,1.3045944412932498,,-0.07000000000000006,21.91,3.150357394454195,1.5095476464655255,7.063938341248166,8.004270767353649,0.06869467557002573,1,0.04653017983758756,1.0
2002-04-30,SEKUSD,SE,0.09727626459143969,1.98,4.25,5.69,1.4400000000000004,,,-0.020000000000000018,1.75,1.87,5.21,3.34,1.3045944412932498,,-0.07000000000000006,21.91,3.150357394454195,0.8041510175061273,3.742322914624907,-0.19474202843956512,0.05349723674707718,1,0.07733075927890631,1.0
2002-05-31,AUDUSD,AU,0.566,4.44565217391304,4.84,6.21521739130435,1.37521739130435,,,0.19565217391304035,1.75,1.82,5.16,3.34,1.527149321266963,,0.010000000000000009,19.98,-2.002140983542877,5.222361355410032,9.113164291004383,11.04776297561989,-0.005669752962948915,0,-0.029585304359506903,0.0
2002-05-31,CADUSD,CA,0.6546644844517184,2.24666363636364,2.514,5.59590909090909,3.08190909090909,,,0.25106863636363985,1.75,1.82,5.16,3.34,1.527149321266963,,0.010000000000000009,19.98,-2.002140983542877,2.6232283341235396,4.942903728135994,1.2103219062798543,0.005580188449977652,1,-0.020091408161641233,0.0
2002-05-31,CHFUSD,CH,0.6372267890142101,1.03,1.1634939,3.465,2.3015061,,,-0.6499999999999999,1.75,1.82,5.16,3.34,1.527149321266963,,0.010000000000000009,19.98,-2.002140983542877,3.278365609311523,8.146809897899232,13.548894773888387,0.05051215828096889,1,0.044697994142731234,1.0
