ref_date,value,publication_date
2024-05-01,6.2,2024-06-17
2024-06-01,6.4,2024-07-15
2024-07-01,6.4,2024-08-15
2024-08-01,6.6,2024-09-16
2024-09-01,6.5,2024-11-15
2024-10-01,6.5,2024-11-15
2024-11-01,6.8,2024-12-16
2024-12-01,6.7,2025-01-15
2025-01-01,6.6,2025-02-17
2025-02-01,6.6,2025-03-17
2025-03-01,6.7,2025-04-15
2025-04-01,6.9,2025-05-15
2025-05-01,7.0,2025-06-16
2025-06-01,6.9,2025-07-15
2025-07-01,6.9,2025-08-15
2025-08-01,7.1,2025-09-15
2025-09-01,7.1,2025-10-15
2025-10-01,6.9,2025-11-17
2025-11-01,6.5,2025-12-15
2025-12-01,6.8,2026-01-15
2026-01-01,6.5,2026-02-16
2026-02-01,6.7,2026-05-15
2026-03-01,6.7,2026-05-15
2026-04-01,6.9,2026-05-15
2026-05-01,6.6,2026-06-15
2026-06-01,6.5,2026-07-16
