ny_hour,n_bars_scopeA_full,n_close_to_close_scopeA_full,n_gap_excluded_scopeA_full,mean_abs_return_pct_scopeA_full,median_abs_return_pct_scopeA_full,mean_abs_pips_scopeA_full,median_abs_pips_scopeA_full,p75_abs_pips_scopeA_full,p90_abs_pips_scopeA_full,mean_bar_range_pips_scopeA_full,median_bar_range_pips_scopeA_full,n_bars_scopeB_first85,n_close_to_close_scopeB_first85,up_rate_pct_scopeB_first85,mean_signed_pips_scopeB_first85,median_signed_pips_scopeB_first85,session,rank_by_mean_abs_pips
11,2917,2917,0,0.067836083127377,0.05048624043038075,7.575591360987313,5.699999999999594,10.099999999999554,16.09999999999978,19.588584161810115,17.300000000000093,2480,2480,49.354838709677416,0.2040725806451888,-0.0999999999995449,NY-only,11
13,2916,2916,0,0.06367409611338111,0.04036451388425011,7.110425240054845,4.500000000000615,8.599999999998886,15.099999999999003,14.17177640603569,11.999999999998678,2479,2479,50.42355788624445,0.4101250504236046,0.10000000000065512,NY-only,12
12,2917,2916,1,0.06330850255122096,0.04414633197805662,7.054012345679038,4.999999999999449,9.299999999998754,15.049999999999786,15.764586904353811,13.599999999998058,2480,2479,50.62525211778943,0.2787414279951062,0.1999999999990898,NY-only,13
19,2917,2917,0,0.053227670214630464,0.03887005649718667,5.938944120671901,4.3999999999999595,7.800000000000029,12.600000000000389,9.066849502913948,7.200000000000539,2480,2480,49.435483870967744,-0.06745967741931151,-0.04999999999921734,Asia,14
20,2917,2917,0,0.05001448455081873,0.036136959074895,5.5889955433664475,4.099999999997994,7.599999999998719,11.900000000000244,12.04573191635246,10.200000000000209,2480,2480,51.49193548387097,0.45874999999997335,0.20000000000131024,Asia,15
14,2917,2917,0,0.04969980153929732,0.03443590268599195,5.558347617415158,3.8999999999989043,7.200000000000539,11.840000000000304,14.254130956462177,10.600000000000609,2480,2480,49.193548387096776,-0.039153225806494114,-0.09999999999843467,NY-only,16
0,2917,2917,0,0.04707176830333848,0.0343037270535973,5.2597188892697915,3.8000000000004697,7.099999999999884,11.300000000000754,8.106684950291424,6.800000000000139,2479,2479,48.688987494957644,-0.22287212585719338,-0.09999999999843467,Asia,17
21,2917,2917,0,0.04066629963315576,0.028574325507668696,4.540623928693849,3.1999999999987594,5.899999999998684,9.599999999998499,11.479808021940382,9.700000000001374,2480,2480,51.12903225806451,0.3720967741935404,0.1999999999990898,Asia,18
18,2916,2916,0,0.03969638027490217,0.026333610964518472,4.432270233196135,2.9500000000004523,5.699999999999594,9.699999999999154,8.697942386831272,6.699999999999484,2479,2479,48.043565954013715,-0.21960467930619354,-0.1999999999990898,rollover,19
17,2914,2913,1,0.03883106562032469,0.025857764462511312,4.34400961208378,2.900000000001235,5.40000000000207,9.299999999998754,8.698936170212768,7.4000000000018495,2477,2476,64.21647819063004,1.4296849757674193,1.2999999999996348,rollover,20
15,2917,2905,12,0.03623314024052766,0.026991524661257316,4.056660929432032,3.0999999999981043,5.399999999999849,8.60000000000083,11.37298594446349,9.200000000000319,2480,2468,39.34359805510535,-1.076012965964363,-1.0999999999994348,NY-only,21
23,2917,2917,0,0.035486598329276225,0.026407025972585707,3.964004113815562,2.9999999999996696,5.20000000000076,8.400000000000407,8.102434007542026,6.900000000000794,2479,2479,50.18152480839048,-0.041831383622434194,0.09999999999843467,Asia,22
22,2917,2917,0,0.03413145431297194,0.02534832827775224,3.821528968117903,2.80000000000058,5.1000000000001044,8.099999999999774,9.509496057593465,8.00000000000134,2479,2479,49.778136345300524,0.0617991125453991,0.0,Asia,23
16,2906,2324,582,0.024373516962967676,0.0159884384353437,2.7277538726333708,1.80000000000069,3.4999999999985043,5.800000000000249,8.8707157604955,7.500000000000284,2469,1979,59.01970692268823,0.5719050025265412,0.5999999999994898,rollover,24
