horizon_bars,target_mult,stop_mult,scope,n_rows,mean_uniqueness,n_independent,mean_resolution_bars,median_resolution_bars,pct_resolved_target,pct_resolved_stop,pct_resolved_time,median_target_width_pips,p25_target_width_pips,cost_ratio_median_pct,cost_ratio_p25_pct,class_balance_pct_label1,tier_independence,tier_cost,viability
48,1.5,1.0,AUDUSD,48212,0.026887,1296,36.917,48.0,15.01,33.35,51.64,86.516,68.516,1.734,2.189,46.09,marginal,comfortable,MARGINAL
48,1.5,1.0,CHFUSD,48212,0.026728,1289,36.812,48.0,16.2,32.39,51.4,91.321,72.105,1.643,2.08,44.98,marginal,comfortable,MARGINAL
48,1.5,1.0,pooled,192848,0.027073,5221,36.464,48.0,15.95,33.48,50.56,101.57,77.413,1.477,1.938,45.48,GBM_plausible,comfortable,VIABLE
48,2.0,1.0,EURUSD,48212,0.025902,1249,38.067,48.0,8.45,33.71,57.84,131.869,101.53,1.137,1.477,44.94,marginal,comfortable,MARGINAL
48,2.0,1.0,GBPUSD,48212,0.026177,1262,37.898,48.0,7.44,35.17,57.39,182.512,144.837,0.822,1.036,44.48,marginal,comfortable,MARGINAL
48,2.0,1.0,AUDUSD,48212,0.025755,1242,38.601,48.0,6.91,33.69,59.4,115.586,91.501,1.298,1.639,45.36,marginal,comfortable,MARGINAL
48,2.0,1.0,CHFUSD,48212,0.025471,1228,38.632,48.0,8.48,32.6,58.92,121.935,96.25,1.23,1.558,44.3,marginal,comfortable,MARGINAL
48,2.0,1.0,pooled,192848,0.025826,4981,38.3,48.0,7.82,33.79,58.39,135.642,103.358,1.106,1.451,44.77,marginal,comfortable,MARGINAL
120,0.5,1.0,EURUSD,48140,0.020278,976,51.687,40.0,58.67,27.22,14.11,51.912,40.012,2.89,3.749,62.26,not_trainable,comfortable,CLOSED
120,0.5,1.0,GBPUSD,48140,0.020605,992,51.594,40.0,57.74,28.26,14.0,71.81,57.042,2.089,2.63,61.02,not_trainable,comfortable,CLOSED
120,0.5,1.0,AUDUSD,48140,0.020531,988,51.664,40.0,60.07,26.65,13.28,45.447,36.017,3.301,4.165,63.71,not_trainable,comfortable,CLOSED
120,0.5,1.0,CHFUSD,48140,0.019875,957,53.871,43.0,58.83,25.73,15.44,47.999,37.917,3.125,3.956,62.46,not_trainable,comfortable,CLOSED
120,0.5,1.0,pooled,192560,0.020322,3913,52.204,41.0,58.83,26.96,14.21,53.366,40.709,2.811,3.685,62.36,marginal,comfortable,MARGINAL
120,1.0,1.0,EURUSD,48140,0.013133,632,76.607,78.0,33.05,33.38,33.57,104.06,80.162,1.441,1.871,49.17,not_trainable,comfortable,CLOSED
120,1.0,1.0,GBPUSD,48140,0.013154,633,77.301,80.0,31.74,34.84,33.42,144.02,114.326,1.042,1.312,48.17,not_trainable,comfortable,CLOSED
120,1.0,1.0,AUDUSD,48140,0.01286,619,79.093,83.0,32.04,32.92,35.04,91.172,72.215,1.645,2.077,50.35,not_trainable,comfortable,CLOSED
120,1.0,1.0,CHFUSD,48140,0.012697,611,80.09,87.0,31.85,31.36,36.79,96.222,75.974,1.559,1.974,49.37,not_trainable,comfortable,CLOSED
120,1.0,1.0,pooled,192560,0.012961,2496,78.273,82.0,32.17,33.13,34.71,107.017,81.588,1.402,1.839,49.27,marginal,comfortable,MARGINAL
120,1.5,1.0,EURUSD,48140,0.011324,545,88.832,114.0,17.2,34.9,47.9,156.449,120.441,0.959,1.245,45.43,not_trainable,comfortable,CLOSED
120,1.5,1.0,GBPUSD,48140,0.011414,549,88.917,114.0,15.9,36.21,47.89,216.603,171.858,0.693,0.873,44.83,not_trainable,comfortable,CLOSED
120,1.5,1.0,AUDUSD,48140,0.011146,537,90.865,120.0,14.97,34.63,50.41,137.179,108.584,1.093,1.381,46.74,not_trainable,comfortable,CLOSED
120,1.5,1.0,CHFUSD,48140,0.011071,533,91.37,120.0,16.47,32.29,51.24,144.664,114.173,1.037,1.314,46.42,not_trainable,comfortable,CLOSED
120,1.5,1.0,pooled,192560,0.011239,2164,89.996,118.0,16.13,34.51,49.36,160.934,122.637,0.932,1.223,45.86,marginal,comfortable,MARGINAL
120,2.0,1.0,EURUSD,48140,0.010771,519,93.51,120.0,9.38,35.34,55.28,209.07,160.871,0.717,0.932,44.44,not_trainable,comfortable,CLOSED
120,2.0,1.0,GBPUSD,48140,0.010837,522,93.788,120.0,7.24,36.45,56.31,289.574,229.631,0.518,0.653,44.18,not_trainable,comfortable,CLOSED
120,2.0,1.0,AUDUSD,48140,0.010623,511,95.504,120.0,6.1,35.07,58.83,183.457,145.135,0.818,1.034,45.75,not_trainable,comfortable,CLOSED
120,2.0,1.0,CHFUSD,48140,0.010525,507,96.031,120.0,9.22,32.52,58.26,193.323,152.497,0.776,0.984,45.73,not_trainable,comfortable,CLOSED
120,2.0,1.0,pooled,192560,0.010689,2058,94.708,120.0,7.98,34.84,57.17,215.142,163.862,0.697,0.915,45.03,marginal,comfortable,MARGINAL
240,0.5,1.0,EURUSD,48020,0.010503,504,100.699,76.0,59.79,26.28,13.93,73.464,56.574,2.042,2.651,63.88,not_trainable,comfortable,CLOSED
240,0.5,1.0,GBPUSD,48020,0.010705,514,101.359,77.0,57.56,28.41,14.03,101.729,80.78,1.475,1.857,61.53,not_trainable,comfortable,CLOSED
240,0.5,1.0,AUDUSD,48020,0.010494,504,102.483,78.0,60.19,26.58,13.23,64.329,50.949,2.332,2.944,64.07,not_trainable,comfortable,CLOSED
240,0.5,1.0,CHFUSD,48020,0.010203,490,105.5,84.0,60.91,24.36,14.74,67.88,53.618,2.21,2.798,64.73,not_trainable,comfortable,CLOSED
240,0.5,1.0,pooled,192080,0.010476,2012,102.51,79.0,59.61,26.41,13.98,75.538,57.584,1.986,2.605,63.55,marginal,comfortable,MARGINAL
240,1.0,1.0,EURUSD,48020,0.006682,321,153.725,157.0,32.65,32.21,35.14,147.418,113.42,1.018,1.323,50.07,not_trainable,comfortable,CLOSED
240,1.0,1.0,GBPUSD,48020,0.006783,326,152.853,155.0,31.74,35.04,33.22,204.229,162.054,0.734,0.926,48.78,not_trainable,comfortable,CLOSED
240,1.0,1.0,AUDUSD,48020,0.006504,312,158.095,168.0,31.62,33.4,34.97,129.205,102.251,1.161,1.467,50.96,not_trainable,comfortable,CLOSED
240,1.0,1.0,CHFUSD,48020,0.006474,311,160.108,172.0,32.86,29.84,37.3,136.203,107.512,1.101,1.395,51.66,not_trainable,comfortable,CLOSED
240,1.0,1.0,pooled,192080,0.006611,1270,156.195,163.0,32.22,32.62,35.16,151.628,115.512,0.989,1.299,50.37,marginal,comfortable,MARGINAL
240,1.5,1.0,EURUSD,48020,0.005768,277,176.608,233.0,17.36,33.76,48.89,221.858,170.554,0.676,0.879,46.07,not_trainable,comfortable,CLOSED
240,1.5,1.0,GBPUSD,48020,0.005823,280,177.039,227.0,15.46,36.89,47.65,307.521,243.814,0.488,0.615,45.11,not_trainable,comfortable,CLOSED
240,1.5,1.0,AUDUSD,48020,0.005611,269,182.659,240.0,14.29,34.65,51.06,194.654,153.923,0.771,0.975,47.25,not_trainable,comfortable,CLOSED
240,1.5,1.0,CHFUSD,48020,0.005637,271,182.605,240.0,17.11,30.97,51.92,204.978,161.684,0.732,0.928,48.33,not_trainable,comfortable,CLOSED
240,1.5,1.0,pooled,192080,0.00571,1097,179.728,240.0,16.06,34.07,49.88,228.291,173.794,0.657,0.863,46.69,marginal,comfortable,MARGINAL
240,2.0,1.0,EURUSD,48020,0.005452,262,186.623,240.0,9.62,34.17,56.21,296.759,227.965,0.505,0.658,45.2,not_trainable,comfortable,CLOSED
240,2.0,1.0,GBPUSD,48020,0.005526,265,186.411,240.0,7.23,37.51,55.27,411.585,326.074,0.364,0.46,44.14,not_trainable,comfortable,CLOSED
240,2.0,1.0,AUDUSD,48020,0.005358,257,191.795,240.0,5.65,34.8,59.55,260.7,205.934,0.575,0.728,46.38,not_trainable,comfortable,CLOSED
240,2.0,1.0,CHFUSD,48020,0.005339,256,192.243,240.0,9.23,31.17,59.6,274.204,216.138,0.547,0.694,47.61,not_trainable,comfortable,CLOSED
240,2.0,1.0,pooled,192080,0.005419,1041,189.268,240.0,7.93,34.41,57.66,305.52,232.429,0.491,0.645,45.83,marginal,comfortable,MARGINAL
