session,n_bars_scopeA_full,n_close_to_close_scopeA_full,n_gap_excluded_scopeA_full,mean_abs_return_pct_scopeA_full,median_abs_return_pct_scopeA_full,mean_abs_pips_scopeA_full,median_abs_pips_scopeA_full,p75_abs_pips_scopeA_full,p90_abs_pips_scopeA_full,mean_bar_range_pips_scopeA_full,median_bar_range_pips_scopeA_full,n_bars_scopeB_first85,n_close_to_close_scopeB_first85,up_rate_pct_scopeB_first85,mean_signed_pips_scopeB_first85,median_signed_pips_scopeB_first85,ny_hours,rank_by_mean_abs_pips,block,fx_week_day,ny_hour,mean_abs_pips_overall,rank_min_across_years,rank_max_across_years,rank_early_years,rank_late_years,rank_span,year,rank_within_year,mean_abs_pips_including_mismatch,mean_abs_pips_excluding_mismatch,pct_change_when_excluded,n_mismatch_bars
,,,,,,,,,,,,,,,,,,,yearly_rank_stability,,20,5.5889955433664475,14.0,17.0,16.0,15.0,3.0,,,,,,
,,,,,,,,,,,,,,,,,,,yearly_rank_stability,,21,4.540623928693849,16.0,23.0,18.0,20.0,7.0,,,,,,
,,,,,,,,,,,,,,,,,,,yearly_rank_stability,,22,3.821528968117903,20.0,24.0,23.0,22.0,4.0,,,,,,
,,,,,,,,,,,,,,,,,,,yearly_rank_stability,,23,3.964004113815562,19.0,23.0,22.0,23.0,4.0,,,,,,
,,,,,,7.709039548022572,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2015.0,,,,,
,,,,,,5.894980694980667,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2016.0,,,,,
,,,,,,5.273255813953557,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2017.0,,,,,
,,,,,,6.8467181467181035,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2018.0,,,,,
,,,,,,3.025482625482728,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2019.0,,,,,
,,,,,,4.918461538461461,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2020.0,,,,,
,,,,,,3.968461538461583,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2021.0,,,,,
,,,,,,7.056370656370624,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2022.0,,,,,
,,,,,,4.870270270270249,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2023.0,,,,,
,,,,,,3.546923076922956,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2024.0,,,,,
,,,,,,5.748262548262544,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2025.0,,,,,
,,,,,,4.887162162162268,,,,,,,,,,,,,mean_abs_pips_by_year,,0,,,,,,,2026.0,,,,,
,,,,,,12.635593220338952,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2015.0,,,,,
,,,,,,9.532818532818409,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2016.0,,,,,
,,,,,,8.734108527131804,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2017.0,,,,,
,,,,,,9.730888030888021,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2018.0,,,,,
,,,,,,4.760231660231691,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2019.0,,,,,
,,,,,,8.200384615384646,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2020.0,,,,,
,,,,,,6.866923076923108,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2021.0,,,,,
,,,,,,11.396138996138914,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2022.0,,,,,
,,,,,,7.809266409266405,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2023.0,,,,,
,,,,,,6.104230769230791,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2024.0,,,,,
,,,,,,8.92586872586881,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2025.0,,,,,
,,,,,,6.803378378378389,,,,,,,,,,,,,mean_abs_pips_by_year,,1,,,,,,,2026.0,,,,,
,,,,,,20.410169491525444,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2015.0,,,,,
,,,,,,11.47644787644784,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2016.0,,,,,
,,,,,,10.204633204633229,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2017.0,,,,,
,,,,,,11.17104247104249,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2018.0,,,,,
,,,,,,6.722779922780045,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2019.0,,,,,
,,,,,,12.061923076923101,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2020.0,,,,,
,,,,,,9.937692307692284,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2021.0,,,,,
,,,,,,14.426640926640923,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2022.0,,,,,
,,,,,,10.223166023165998,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2023.0,,,,,
,,,,,,7.610384615384607,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2024.0,,,,,
,,,,,,11.39150579150591,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2025.0,,,,,
,,,,,,6.949324324324407,,,,,,,,,,,,,mean_abs_pips_by_year,,2,,,,,,,2026.0,,,,,
,,,,,,12.90564971751412,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2015.0,,,,,
,,,,,,9.313513513513564,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2016.0,,,,,
,,,,,,8.745173745173709,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2017.0,,,,,
,,,,,,10.615057915057964,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2018.0,,,,,
,,,,,,6.463706563706548,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2019.0,,,,,
,,,,,,10.780000000000003,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2020.0,,,,,
,,,,,,8.16884615384613,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2021.0,,,,,
,,,,,,11.445173745173722,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2022.0,,,,,
,,,,,,8.362162162162178,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2023.0,,,,,
,,,,,,7.478076923076952,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2024.0,,,,,
,,,,,,8.174517374517405,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2025.0,,,,,
,,,,,,7.797297297297323,,,,,,,,,,,,,mean_abs_pips_by_year,,3,,,,,,,2026.0,,,,,
,,,,,,10.93785310734462,,,,,,,,,,,,,mean_abs_pips_by_year,,4,,,,,,,2015.0,,,,,
