block,model,bin_lo,bin_hi,count,frequency
validation,student_t_garch,0.8,0.8500000000000001,33,0.03837209302325582
validation,student_t_garch,0.8500000000000001,0.9,36,0.04186046511627907
validation,student_t_garch,0.9,0.9500000000000001,49,0.056976744186046514
validation,student_t_garch,0.9500000000000001,1.0,37,0.04302325581395349
validation,empirical_unconditional,0.0,0.05,7,0.00813953488372093
validation,empirical_unconditional,0.05,0.1,22,0.02558139534883721
validation,empirical_unconditional,0.1,0.15000000000000002,44,0.05116279069767442
validation,empirical_unconditional,0.15000000000000002,0.2,35,0.040697674418604654
validation,empirical_unconditional,0.2,0.25,47,0.05465116279069768
validation,empirical_unconditional,0.25,0.30000000000000004,55,0.06395348837209303
validation,empirical_unconditional,0.30000000000000004,0.35000000000000003,48,0.05581395348837209
validation,empirical_unconditional,0.35000000000000003,0.4,44,0.05116279069767442
validation,empirical_unconditional,0.4,0.45,43,0.05
validation,empirical_unconditional,0.45,0.5,60,0.06976744186046512
validation,empirical_unconditional,0.5,0.55,73,0.08488372093023255
validation,empirical_unconditional,0.55,0.6000000000000001,70,0.08139534883720931
validation,empirical_unconditional,0.6000000000000001,0.65,56,0.06511627906976744
validation,empirical_unconditional,0.65,0.7000000000000001,54,0.06279069767441861
validation,empirical_unconditional,0.7000000000000001,0.75,51,0.05930232558139535
validation,empirical_unconditional,0.75,0.8,39,0.04534883720930233
validation,empirical_unconditional,0.8,0.8500000000000001,46,0.053488372093023255
validation,empirical_unconditional,0.8500000000000001,0.9,33,0.03837209302325582
validation,empirical_unconditional,0.9,0.9500000000000001,28,0.03255813953488372
validation,empirical_unconditional,0.9500000000000001,1.0,5,0.005813953488372093
validation,mdn_ensemble,0.0,0.05,28,0.03255813953488372
validation,mdn_ensemble,0.05,0.1,42,0.04883720930232558
validation,mdn_ensemble,0.1,0.15000000000000002,54,0.06279069767441861
validation,mdn_ensemble,0.15000000000000002,0.2,36,0.04186046511627907
validation,mdn_ensemble,0.2,0.25,37,0.04302325581395349
validation,mdn_ensemble,0.25,0.30000000000000004,51,0.05930232558139535
validation,mdn_ensemble,0.30000000000000004,0.35000000000000003,39,0.04534883720930233
validation,mdn_ensemble,0.35000000000000003,0.4,46,0.053488372093023255
validation,mdn_ensemble,0.4,0.45,45,0.05232558139534884
validation,mdn_ensemble,0.45,0.5,49,0.056976744186046514
validation,mdn_ensemble,0.5,0.55,51,0.05930232558139535
validation,mdn_ensemble,0.55,0.6000000000000001,52,0.06046511627906977
validation,mdn_ensemble,0.6000000000000001,0.65,56,0.06511627906976744
validation,mdn_ensemble,0.65,0.7000000000000001,39,0.04534883720930233
validation,mdn_ensemble,0.7000000000000001,0.75,48,0.05581395348837209
validation,mdn_ensemble,0.75,0.8,46,0.053488372093023255
validation,mdn_ensemble,0.8,0.8500000000000001,44,0.05116279069767442
validation,mdn_ensemble,0.8500000000000001,0.9,39,0.04534883720930233
validation,mdn_ensemble,0.9,0.9500000000000001,33,0.03837209302325582
validation,mdn_ensemble,0.9500000000000001,1.0,25,0.029069767441860465
validation,mdn_symmetric_ensemble,0.0,0.05,21,0.02441860465116279
validation,mdn_symmetric_ensemble,0.05,0.1,49,0.056976744186046514
validation,mdn_symmetric_ensemble,0.1,0.15000000000000002,49,0.056976744186046514
validation,mdn_symmetric_ensemble,0.15000000000000002,0.2,41,0.047674418604651166
validation,mdn_symmetric_ensemble,0.2,0.25,44,0.05116279069767442
validation,mdn_symmetric_ensemble,0.25,0.30000000000000004,53,0.06162790697674419
validation,mdn_symmetric_ensemble,0.30000000000000004,0.35000000000000003,43,0.05
validation,mdn_symmetric_ensemble,0.35000000000000003,0.4,50,0.05813953488372093
validation,mdn_symmetric_ensemble,0.4,0.45,49,0.056976744186046514
validation,mdn_symmetric_ensemble,0.45,0.5,47,0.05465116279069768
validation,mdn_symmetric_ensemble,0.5,0.55,64,0.07441860465116279
validation,mdn_symmetric_ensemble,0.55,0.6000000000000001,41,0.047674418604651166
validation,mdn_symmetric_ensemble,0.6000000000000001,0.65,46,0.053488372093023255
validation,mdn_symmetric_ensemble,0.65,0.7000000000000001,48,0.05581395348837209
validation,mdn_symmetric_ensemble,0.7000000000000001,0.75,35,0.040697674418604654
validation,mdn_symmetric_ensemble,0.75,0.8,45,0.05232558139534884
validation,mdn_symmetric_ensemble,0.8,0.8500000000000001,46,0.053488372093023255
validation,mdn_symmetric_ensemble,0.8500000000000001,0.9,39,0.04534883720930233
validation,mdn_symmetric_ensemble,0.9,0.9500000000000001,27,0.031395348837209305
validation,mdn_symmetric_ensemble,0.9500000000000001,1.0,23,0.026744186046511628
