idx,forecast_time,last_context_time,last_close,p_up,gen_mean,gen_sd,gen_distinct,step_gap_h,ctx_max_gap_h,spans_weekend_gap
57966,2026-03-30 05:00:00+00:00,2026-03-30 04:00:00+00:00,1.1511,0.23333333333333334,1.1509480476379395,0.00048697885358706117,6,1.0,50.0,False
57967,2026-03-30 06:00:00+00:00,2026-03-30 05:00:00+00:00,1.15153,0.8333333333333334,1.1518003940582275,0.00033753379830159247,4,1.0,50.0,False
57968,2026-03-30 07:00:00+00:00,2026-03-30 06:00:00+00:00,1.15133,0.4,1.1511911153793335,0.0005038178060203791,5,1.0,50.0,False
57969,2026-03-30 08:00:00+00:00,2026-03-30 07:00:00+00:00,1.15154,0.3,1.1509807109832764,0.0007307403720915318,8,1.0,50.0,False
57970,2026-03-30 09:00:00+00:00,2026-03-30 08:00:00+00:00,1.15125,0.3333333333333333,1.1510745286941528,0.0006882664165459573,9,1.0,50.0,False
57971,2026-03-30 10:00:00+00:00,2026-03-30 09:00:00+00:00,1.14972,0.4666666666666667,1.1499685049057007,0.000697256822604686,9,1.0,50.0,False
57972,2026-03-30 11:00:00+00:00,2026-03-30 10:00:00+00:00,1.14958,0.6,1.14967679977417,0.0005442305700853467,8,1.0,50.0,False
57973,2026-03-30 12:00:00+00:00,2026-03-30 11:00:00+00:00,1.14941,0.43333333333333335,1.1492886543273926,0.0005277040181681514,8,1.0,50.0,False
57974,2026-03-30 13:00:00+00:00,2026-03-30 12:00:00+00:00,1.14889,0.43333333333333335,1.1492631435394287,0.000775837164837867,10,1.0,50.0,False
57975,2026-03-30 14:00:00+00:00,2026-03-30 13:00:00+00:00,1.14843,0.9333333333333333,1.148958683013916,0.000665724859572947,10,1.0,50.0,False
57976,2026-03-30 15:00:00+00:00,2026-03-30 14:00:00+00:00,1.14823,0.7333333333333333,1.148108720779419,0.0006628505070693791,6,1.0,50.0,False
57977,2026-03-30 16:00:00+00:00,2026-03-30 15:00:00+00:00,1.14637,0.5,1.1467877626419067,0.0006900072330608964,4,1.0,50.0,False
57978,2026-03-30 17:00:00+00:00,2026-03-30 16:00:00+00:00,1.14645,0.7333333333333333,1.146657109260559,0.0006497682770714164,5,1.0,50.0,False
57979,2026-03-30 18:00:00+00:00,2026-03-30 17:00:00+00:00,1.14534,1.0,1.1466045379638672,0.0008680725586600602,7,1.0,50.0,False
57980,2026-03-30 19:00:00+00:00,2026-03-30 18:00:00+00:00,1.14595,0.6,1.1458429098129272,0.0006252307794056833,4,1.0,50.0,False
57981,2026-03-30 20:00:00+00:00,2026-03-30 19:00:00+00:00,1.1457,0.8,1.146236538887024,0.0006742656114511192,5,1.0,50.0,False
57982,2026-03-30 21:00:00+00:00,2026-03-30 20:00:00+00:00,1.14608,0.2,1.1460624933242798,0.0006362191052176058,4,1.0,50.0,False
57983,2026-03-30 22:00:00+00:00,2026-03-30 21:00:00+00:00,1.14594,0.03333333333333333,1.1453361511230469,0.0004612505144905299,3,1.0,50.0,False
57984,2026-03-30 23:00:00+00:00,2026-03-30 22:00:00+00:00,1.14611,0.16666666666666666,1.1457898616790771,0.0004919704515486956,3,1.0,50.0,False
57985,2026-03-31 00:00:00+00:00,2026-03-30 23:00:00+00:00,1.14586,0.7333333333333333,1.1458178758621216,0.0004615919024217874,3,1.0,50.0,False
57986,2026-03-31 01:00:00+00:00,2026-03-31 00:00:00+00:00,1.14591,0.7,1.1461938619613647,0.0007797334692440927,7,1.0,50.0,False
57987,2026-03-31 02:00:00+00:00,2026-03-31 01:00:00+00:00,1.14563,0.6333333333333333,1.1454888582229614,0.0005395825137384236,4,1.0,50.0,False
57988,2026-03-31 03:00:00+00:00,2026-03-31 02:00:00+00:00,1.14744,0.23333333333333334,1.146997332572937,0.0006171291461214423,7,1.0,50.0,False
57989,2026-03-31 04:00:00+00:00,2026-03-31 03:00:00+00:00,1.14756,0.5666666666666667,1.1479341983795166,0.0006905855843797326,9,1.0,50.0,False
57990,2026-03-31 05:00:00+00:00,2026-03-31 04:00:00+00:00,1.14754,0.2,1.1475027799606323,0.00041679907008074224,7,1.0,50.0,False
57991,2026-03-31 06:00:00+00:00,2026-03-31 05:00:00+00:00,1.1469,0.7333333333333333,1.1472275257110596,0.0005394906038418412,7,1.0,50.0,False
57992,2026-03-31 07:00:00+00:00,2026-03-31 06:00:00+00:00,1.14688,0.7,1.1470733880996704,0.0005239135352894664,8,1.0,50.0,False
57993,2026-03-31 08:00:00+00:00,2026-03-31 07:00:00+00:00,1.14639,0.8,1.1468722820281982,0.0006900145090185106,10,1.0,50.0,False
57994,2026-03-31 09:00:00+00:00,2026-03-31 08:00:00+00:00,1.14718,0.8,1.1472339630126953,0.00048401602543890476,8,1.0,50.0,False
57995,2026-03-31 10:00:00+00:00,2026-03-31 09:00:00+00:00,1.14715,0.26666666666666666,1.1466706991195679,0.00045036186929792166,4,1.0,50.0,False
