logged_utc,as_of_bar_close,as_of_close,forecast_window_start,forecast_window_end,minutes_remaining,forecast_bar_status,spans_weekend_gap,context_bars,trailing_bars,horizon_bars,sample_count,temperature,top_p,pred_vol_pct_24h,pred_vol_pct_24h_scaled,pred_vol_scale_constant,path_endpoint_sd_pct,p_vol_amp_raw,p_vol_amp_calibrated,trailing_rv_24h_pct,n_paths,gen_distinct_endpoints,calibration_fitted_utc,model,model_version,device,data_source
2026-08-06T04:13:11.145355,2026-08-06T06:00:00,1.15484,2026-08-06T06:00:00,2026-08-07T06:00:00,1426,open,False,512,24,24,30,1.0,0.9,0.2111486868683327,0.3224282710507858,0.6548702636409777,0.1823928603634025,0.3333333333333333,0.6923076923076923,0.24258199556173804,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-06T04:40:53.632830,2026-08-06T06:00:00,1.15484,2026-08-06T06:00:00,2026-08-07T06:00:00,1399,open,False,512,24,24,30,1.0,0.9,0.22566526034529705,0.34459536930358237,0.6548702636409777,0.19889942299256333,0.3,0.6923076923076923,0.24258199556173804,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-06T04:43:30.860169,2026-08-06T06:00:00,1.15484,2026-08-06T06:00:00,2026-08-07T06:00:00,1396,open,False,512,24,24,30,1.0,0.9,0.19138891369592578,0.2922547019188701,0.6548702636409777,0.22475764070023027,0.2,0.6597938144329897,0.24258199556173804,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-06T04:45:51.506663,2026-08-06T06:00:00,1.15484,2026-08-06T06:00:00,2026-08-07T06:00:00,1394,open,False,512,24,24,30,1.0,0.9,0.20698698118927322,0.31607326318110324,0.6548702636409777,0.19763314952402455,0.26666666666666666,0.6597938144329897,0.24258199556173804,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-06T06:10:14.647249,2026-08-06T08:00:00,1.15489,2026-08-06T08:00:00,2026-08-07T08:00:00,1429,open,False,512,24,24,30,1.0,0.9,0.21085338960818628,0.32197734622408103,0.6548702636409777,0.22731877322334182,0.3333333333333333,0.6923076923076923,0.2423541730316927,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-06T06:17:03.114630,2026-08-06T08:00:00,1.15489,2026-08-06T08:00:00,2026-08-07T08:00:00,1422,open,False,512,24,24,30,1.0,0.9,0.20246596206779086,0.3091695764930772,0.6548702636409777,0.27105231531184953,0.23333333333333334,0.6597938144329897,0.2423541730316927,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-06T06:30:33.025135,2026-08-06T08:00:00,1.15489,2026-08-06T08:00:00,2026-08-07T08:00:00,1409,open,False,512,24,24,30,1.0,0.9,0.19844772072668024,0.3030336415389233,0.6548702636409777,0.1835284077121456,0.23333333333333334,0.6597938144329897,0.2423541730316927,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-06T06:31:41.223013,2026-08-06T08:00:00,1.15489,2026-08-06T08:00:00,2026-08-07T08:00:00,1408,open,False,512,24,24,30,1.0,0.9,0.2081177028419589,0.31779989777647955,0.6548702636409777,0.24280165237533544,0.26666666666666666,0.6597938144329897,0.2423541730316927,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-06T06:32:26.991421,2026-08-06T08:00:00,1.15489,2026-08-06T08:00:00,2026-08-07T08:00:00,1407,open,False,512,24,24,30,1.0,0.9,0.22746161423429356,0.3473384376466296,0.6548702636409777,0.24310264287523922,0.4666666666666667,0.6923076923076923,0.2423541730316927,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-07T04:37:54.593278,2026-08-07T06:00:00,1.15229,2026-08-07T06:00:00,2026-08-10T04:00:00,4162,open,True,512,24,24,30,1.0,0.9,0.1655428826421438,0.2527872951838597,0.6548702636409777,0.10752373713391096,0.2,0.6597938144329897,0.18362919505209505,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-07T04:52:48.146727,2026-08-07T06:00:00,1.15229,2026-08-07T06:00:00,2026-08-10T04:00:00,4147,open,True,512,24,24,30,1.0,0.9,0.166659565454342,0.25449249218882,0.6548702636409777,0.12345864907047782,0.23333333333333334,0.6597938144329897,0.18362919505209505,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
