idx,ts,last_close,p_up,gen_sd,trailing_sd,disp_ratio,gen_distinct
84368,2025-02-19 11:45:00,122.54892,0.6,0.27920025205741567,0.6419682645811344,0.43491285700794835,4
84370,2025-02-19 11:55:00,122.74892,0.7333333333333333,0.21276796037497686,0.6400725650117862,0.33241224824416427,3
84376,2025-02-19 13:25:00,122.34892,0.8333333333333334,0.2856601941400779,0.5747643391039159,0.4970040322707483,4
84379,2025-02-19 13:40:00,122.04892,0.8666666666666667,0.23039804494522445,0.5643437145754338,0.4082583698456838,4
84380,2025-02-19 13:45:00,121.94892,1.0,0.1846327168831615,0.5621699907139669,0.32842862467396083,4
84383,2025-02-19 14:00:00,121.84892,1.0,0.13817849391829018,0.5566325648612875,0.24824004674021213,2
84384,2025-02-19 14:05:00,121.84892,1.0,0.10964266145563605,0.5552818425822709,0.19745407295465695,2
84389,2025-02-19 14:30:00,122.34892,0.7333333333333333,0.2534972044775987,0.5274313782758092,0.4806259447556752,4
84391,2025-02-19 14:40:00,122.04892,1.0,0.1281392354254908,0.5234233885383933,0.24480991532171806,2
84402,2025-02-19 15:35:00,122.64892,0.0,0.12078767784830807,0.5209654102507061,0.23185354626553992,2
84407,2025-02-19 16:00:00,122.54892,0.36666666666666664,0.2028854784737432,0.5137791186461961,0.3948885252642124,4
84409,2025-02-20 09:40:00,120.14892,0.06666666666666667,0.4496376970677626,0.5505226574887997,0.8167469421127511,5
84411,2025-02-20 09:50:00,118.84892,0.7666666666666667,0.3660551913872839,0.5551568817466633,0.6593725186934224,6
84412,2025-02-20 09:55:00,118.84892,0.7666666666666667,0.34509855513228604,0.5452019617200229,0.632973795698674,6
84416,2025-02-20 10:15:00,118.14892,0.8,0.3146038747106708,0.5540070245831006,0.5678698297145517,6
84420,2025-02-20 10:35:00,116.84892,0.7333333333333333,0.3590426838662797,0.5566545603525315,0.6450008846400119,12
84421,2025-02-20 10:40:00,116.54892,0.7,0.37059835159773324,0.5570942878055397,0.6652345208161512,14
84423,2025-02-20 10:50:00,117.54892,0.9,0.2742664571813921,0.5730077876447774,0.4786435072875782,9
84432,2025-02-20 11:35:00,118.34892,0.8666666666666667,0.27900699715919297,0.5719562622455024,0.4878117708927785,4
84436,2025-02-20 11:55:00,118.54892,1.0,0.2571639154188307,0.5707115401630668,0.4506022698355678,3
84441,2025-02-20 13:20:00,119.34892,0.5333333333333333,0.2669029143602998,0.5726729349100882,0.46606517977352035,2
84442,2025-02-20 13:25:00,119.74892,0.0,0.270693733415724,0.42241549875255474,0.6408233935902354,2
84447,2025-02-20 13:50:00,120.44892,0.7333333333333333,0.40425243471337496,0.4373958983818127,0.9242254813292601,3
84448,2025-02-20 13:55:00,119.64892,0.4,0.2794393668424023,0.4432076455106321,0.6304931101097145,4
84450,2025-02-20 14:05:00,120.04892,0.7333333333333333,0.36428740201041476,0.4350874529624297,0.8372739768293695,3
84454,2025-02-20 14:25:00,120.04892,0.7333333333333333,0.33782351929140964,0.42848527709892453,0.7884133652821312,3
84459,2025-02-20 14:50:00,119.84892,0.23333333333333334,0.2128860858241385,0.4226159297267081,0.5037341729210373,3
84462,2025-02-20 15:05:00,119.44892,0.2,0.2550008750581518,0.42177735008846634,0.6045864601422202,4
84464,2025-02-20 15:15:00,119.24892,0.26666666666666666,0.21040306719404095,0.41996642579620763,0.5009997330028017,3
84466,2025-02-20 15:25:00,119.54892,0.6333333333333333,0.2235166217454082,0.4192953505109571,0.5330767953258456,2
84470,2025-02-20 15:45:00,119.34892,0.23333333333333334,0.19227317625622678,0.4196747857852504,0.4581480297808834,2
84472,2025-02-20 15:55:00,119.24892,0.8666666666666667,0.1847601386197273,0.41754452977309436,0.4424920587994081,3
84473,2025-02-20 16:00:00,119.04892,0.6333333333333333,0.22080544055470952,0.4176544764610923,0.5286796933811369,7
84478,2025-02-21 09:55:00,129.74892,0.8666666666666667,0.7665320944009816,1.1605080353501365,0.6605142498386161,3
84481,2025-02-21 10:10:00,129.34892,0.8,0.6641384378939511,1.1617496629477664,0.5716708677227407,3
84482,2025-02-21 10:15:00,130.34892,0.16666666666666666,0.6113589408521423,1.1654114547188559,0.524586349633595,3
84483,2025-02-21 10:20:00,130.94892,0.13333333333333333,0.4232711096670575,1.1665088003735082,0.3628529073518596,3
84489,2025-02-21 10:50:00,131.94892,0.6666666666666666,0.5046580470913389,1.1680926175728712,0.432035987129125,2
84493,2025-02-21 11:10:00,132.74892,0.8666666666666667,0.3664038486945401,1.1668830968079713,0.3140021907051736,2
84494,2025-02-21 11:15:00,133.04892,0.8666666666666667,0.36485812541262824,1.1670090013289256,0.3126437970890952,2
84496,2025-02-21 11:25:00,133.04892,0.9,0.3206771850585937,1.1675212227321814,0.2746649729485509,2
84498,2025-02-21 11:35:00,133.84892,0.0,0.3975228168923004,1.1678663646710727,0.34038382208589585,2
84504,2025-02-21 13:05:00,134.34892,0.23333333333333334,0.7268481348456427,1.167606862400169,0.6225110165518478,3
84517,2025-02-21 14:10:00,134.94892,0.9333333333333333,0.2536877507383931,1.146446402204321,0.2212818237735466,2
84521,2025-02-21 14:30:00,135.04892,0.9333333333333333,0.25403030970324675,1.1402273261371478,0.22278917885948973,2
84525,2025-02-21 14:50:00,135.74892,0.0,0.25309778807670086,1.138760659313484,0.22225722851128699,2
84526,2025-02-21 14:55:00,135.74892,0.0,0.0,1.136877549337452,0.0,1
84533,2025-02-21 15:30:00,135.84892,0.9333333333333333,0.25868530541453466,1.1384541937335315,0.22722504501141394,2
84534,2025-02-21 15:35:00,136.74892,0.0,0.2599261301094488,1.1404152239299177,0.22792236078165698,2
84536,2025-02-21 15:45:00,136.74892,0.0,0.0,1.141527660395943,0.0,1
84537,2025-02-21 15:50:00,136.24892,0.9,0.31792144775390624,1.142926503208118,0.27816438490272305,2
84550,2025-02-24 10:25:00,137.04892,0.7,0.5110645941054268,1.1759666931948898,0.43459104502097445,2
84551,2025-02-24 10:30:00,136.54892,0.03333333333333333,0.20108910089141172,1.1769519082386943,0.17085583487632988,2
84554,2025-02-24 10:45:00,136.64892,0.03333333333333333,0.402149816869604,1.1777613180408153,0.341452729606176,3
84560,2025-02-24 11:15:00,135.44892,0.8333333333333334,0.31743821879067297,1.1823369318197174,0.2684837208815836,2
84561,2025-02-24 11:20:00,135.94892,0.8,0.3428588867187499,1.1827036310030838,0.2898941693685017,2
84562,2025-02-24 11:25:00,135.94892,0.9666666666666667,0.15506233218460008,1.1822463180294687,0.1311590738916854,2
84563,2025-02-24 11:30:00,135.14892,0.43333333333333335,0.4307506329331669,1.186099471344147,0.3631656900116639,2
84583,2025-02-24 14:10:00,133.54892,0.0,0.33787407087862864,0.5169921563284421,0.6535380986785788,4
84584,2025-02-24 14:15:00,134.04892,0.03333333333333333,0.2811989064983801,0.5191290297170345,0.5416744015484075,5
84587,2025-02-24 14:30:00,135.24892,0.26666666666666666,0.43567812670669986,0.5173748811807237,0.8420936975378857,2
84591,2025-02-24 14:50:00,134.74892,0.16666666666666666,0.26230000471620835,0.5196496037155919,0.5047632151371121,6
84593,2025-02-24 15:00:00,135.44892,0.0,0.12153758367373597,0.5212825886120532,0.2331510515195553,3
84594,2025-02-24 15:05:00,135.64892,0.0,0.13664459266225135,0.5205382849624239,0.26250632587402345,4
84602,2025-02-24 15:45:00,134.74892,0.3333333333333333,0.22152474462286204,0.5221118223378953,0.42428601526570636,6
84608,2025-02-25 09:45:00,125.04892,0.8666666666666667,0.6925900146516564,0.9340884172866344,0.7414608744036361,10
84610,2025-02-25 09:55:00,127.04892,0.23333333333333334,0.6107239457942292,0.9464425468782418,0.645283697154834,14
84611,2025-02-25 10:00:00,126.54892,0.7,0.7194883254312164,0.9473735165924906,0.7594558142379463,12
84615,2025-02-25 10:20:00,126.74892,0.3333333333333333,0.5259644316003392,0.9500191976322421,0.5536355822189849,9
84621,2025-02-25 10:50:00,129.04892,0.6,0.42017409384085125,0.9692707396586848,0.433495076916084,5
84622,2025-02-25 10:55:00,128.64892,0.3,0.4583054262336308,0.9698305884371456,0.47256235439240674,4
84628,2025-02-25 11:25:00,130.14892,0.7666666666666667,0.33502693898022695,0.9794001066579163,0.3420736190477512,5
84630,2025-02-25 11:35:00,130.14892,0.7666666666666667,0.38790942239689535,0.9801061683379824,0.3957830640477386,5
84633,2025-02-25 11:50:00,130.14892,0.1,0.3208118894183791,0.9810322331219513,0.3270146266218546,3
84637,2025-02-25 13:10:00,130.94892,0.9666666666666667,0.20814925724477237,0.9818649446402058,0.21199377611046752,4
84641,2025-02-25 13:30:00,130.04892,0.9,0.3169129219998163,0.9828277637628777,0.32245011148899166,5
84645,2025-02-25 13:50:00,129.44892,0.9333333333333333,0.42549839538819884,0.9539343883431091,0.4460457664465247,3
84652,2025-02-25 14:25:00,129.64892,0.7666666666666667,0.30570186112985037,0.9390789088360518,0.3255337312481597,3
84654,2025-02-25 14:35:00,129.34892,0.8,0.40227538083474934,0.940404582885628,0.4277684181422945,3
84664,2025-02-25 15:25:00,128.54892,0.43333333333333335,0.2745120370846549,0.9361527662922036,0.2932342316007971,2
84675,2025-02-26 09:50:00,132.54892,0.2,0.41970896654572004,1.002993173756115,0.4184564536705165,9
84678,2025-02-26 10:05:00,134.64892,0.06666666666666667,0.4434366872413266,1.0238070120280305,0.4331252687583526,7
84682,2025-02-26 10:25:00,134.14892,0.0,0.3489391137370878,1.0291526554627812,0.3390547669336573,6
84686,2025-02-26 10:45:00,133.84892,0.0,0.30632479866713536,1.026616498283313,0.2983828909620734,5
84687,2025-02-26 10:50:00,134.04892,0.0,0.26507928551131194,1.026616498283313,0.25820672661560773,4
84692,2025-02-26 11:15:00,135.94892,0.6,0.2619980033565835,1.0450821568761723,0.2506960832052811,6
84702,2025-02-26 13:05:00,134.84892,0.0,0.2713979897373585,1.0470212240094117,0.2592096354055559,8
84711,2025-02-26 13:50:00,136.24892,0.2,0.24166616826941215,0.6611402405787103,0.36552935888137217,5
84713,2025-02-26 14:00:00,136.24892,0.16666666666666666,0.22258982891429302,0.6552621092300935,0.339695864874328,4
84714,2025-02-26 14:05:00,136.34892,0.3333333333333333,0.27943714858276875,0.6549661947409503,0.42664362042882326,6
84720,2025-02-26 14:35:00,135.84892,0.26666666666666666,0.2408777712374406,0.6307997912937608,0.3818608924131125,4
84728,2025-02-26 15:15:00,136.84892,0.3,0.2898049348400046,0.6143490478354018,0.47172683975193525,4
84737,2025-02-26 16:00:00,134.74892,0.5333333333333333,0.27144478930496113,0.615502213811298,0.4410135060670655,5
84746,2025-02-27 10:15:00,135.04892,0.13333333333333333,0.3744967207850969,0.6622920443158619,0.5654555629940362,9
84760,2025-02-27 11:25:00,132.94892,0.4,0.4081283680237999,0.6933105527090313,0.58866602625488,3
84774,2025-02-27 13:35:00,132.84892,0.7,0.30833300488505233,0.6037683925223306,0.5106809311380912,3
84781,2025-02-27 14:10:00,133.84892,0.9666666666666667,0.279232160031427,0.5747998413948857,0.48579025240126217,5
84788,2025-02-27 14:45:00,135.74892,0.13333333333333333,0.2618684606163506,0.555381056157867,0.47151133030708653,4
84794,2025-02-27 15:15:00,134.54892,0.9333333333333333,0.20790780699062483,0.5486606113828594,0.37893700163131494,3
84795,2025-02-27 15:20:00,133.74892,0.4,0.4259269211544978,0.5542684815482415,0.768448748817096,3
84798,2025-02-27 15:35:00,133.64892,0.5666666666666667,0.43266022917196545,0.5509672788404248,0.7852739097003175,3
84801,2025-02-27 15:50:00,133.74892,0.3333333333333333,0.39526665567904573,0.5510117212430706,0.7173470916141904,3
84809,2025-02-28 10:00:00,128.94892,0.8,0.4328007571411082,0.6885185176952509,0.6285971197838903,12
84812,2025-02-28 10:15:00,130.04892,0.03333333333333333,0.34856209856413334,0.7086173560463171,0.49189043365930535,13
84818,2025-02-28 10:45:00,130.14892,0.6333333333333333,0.21723690515721497,0.713235749356256,0.30457938396005263,9
84820,2025-02-28 10:55:00,129.44892,0.6333333333333333,0.3659608036855035,0.7130039660811035,0.5132661543202073,15
84834,2025-02-28 13:05:00,128.04892,0.13333333333333333,0.3722774956561019,0.7000211345505706,0.5318089373046037,8
84836,2025-02-28 13:15:00,127.74892,0.0,0.20831596809104774,0.7029882142283361,0.2963292468846214,4
84837,2025-02-28 13:20:00,128.04892,0.0,0.22005901578276227,0.7034481516871233,0.31282904824610186,4
84842,2025-02-28 13:45:00,127.44892,0.0,0.24233246759104005,0.6666804406290588,0.36349119131556146,3
84847,2025-02-28 14:10:00,126.94892,0.06666666666666667,0.24814695175039608,0.6376578150009081,0.3891537842283681,4
84848,2025-02-28 14:15:00,126.64892,0.06666666666666667,0.2694859417446642,0.6289872305786485,0.4284442173758371,3
84849,2025-02-28 14:20:00,126.74892,0.0,0.2191808828319333,0.6288120152764788,0.3485634458424954,3
84852,2025-02-28 14:35:00,126.74892,0.03333333333333333,0.2335335584700405,0.6309501987080037,0.3701299388576896,4
84856,2025-02-28 14:55:00,125.94892,0.5,0.25377002016927763,0.6274573159981913,0.404441885844565,4
84858,2025-02-28 15:05:00,125.84892,0.3,0.2844552846680553,0.6274573159981912,0.45334603233612675,5
84859,2025-02-28 15:10:00,126.34892,0.1,0.26372645036039133,0.6286107819243287,0.41953854108747746,4
84869,2025-02-28 16:00:00,126.34892,0.7666666666666667,0.25698251794105403,0.6189092570831478,0.415218410453553,4
84871,2025-03-03 09:40:00,128.54892,0.6333333333333333,0.6918608898620874,0.6940312820524016,0.9968727746912273,14
84879,2025-03-03 10:20:00,130.34892,0.5333333333333333,0.4086840615881089,0.7773198179498675,0.5257605070021083,13
84880,2025-03-03 10:25:00,131.04892,0.4666666666666667,0.4059992154026296,0.7794119000292165,0.5209045632834328,5
84883,2025-03-03 10:40:00,132.04892,0.26666666666666666,0.39033974087899515,0.7761954256776937,0.5028884839641908,5
84885,2025-03-03 10:50:00,131.54892,0.0,0.21013141969517654,0.7778263135846489,0.27015210982870463,5
84887,2025-03-03 11:00:00,131.64892,0.13333333333333333,0.19027752383396498,0.7774615650001914,0.24474203278964426,9
84888,2025-03-03 11:05:00,130.94892,0.06666666666666667,0.268457196016162,0.7800949348226712,0.34413400732718114,10
84891,2025-03-03 11:20:00,129.84892,0.7333333333333333,0.2820910367554231,0.7897504316629442,0.35719010138612506,10
84898,2025-03-03 11:55:00,129.44892,0.43333333333333335,0.2900935433852991,0.786280429999725,0.3689441226273437,10
84902,2025-03-03 13:15:00,129.64892,0.3333333333333333,0.27848433640500164,0.7901107985415998,0.3524623849199794,11
84904,2025-03-03 13:25:00,130.04892,0.43333333333333335,0.259820732166763,0.6759832631839998,0.38435971172268635,12
84906,2025-03-03 13:35:00,129.54892,0.26666666666666666,0.2991586947196648,0.667764629986583,0.44800021038202575,10
84907,2025-03-03 13:40:00,128.94892,0.6,0.2331434386356301,0.6685846301041256,0.3487119328473349,7
84911,2025-03-03 14:00:00,127.94892,0.4,0.23412355616881228,0.6449920095461116,0.36298675441509387,4
84914,2025-03-03 14:15:00,127.54892,0.4,0.2919898916246035,0.638942984893887,0.4569889622829116,5
84915,2025-03-03 14:20:00,127.14892,0.4666666666666667,0.2344335606611131,0.6382815414777457,0.3672886421223366,4
84917,2025-03-03 14:30:00,127.14892,0.4,0.3671455233372855,0.6384094100491505,0.5750941598887449,6
84922,2025-03-03 14:55:00,127.34892,0.9,0.16295816767155777,0.6453193769408153,0.2525232830355616,4
84923,2025-03-03 15:00:00,127.44892,0.7,0.2170229105477527,0.6453636457704416,0.3362800367979646,4
84926,2025-03-03 15:15:00,128.14892,0.4666666666666667,0.19161116403588668,0.6444666092892072,0.2973174424773035,3
84927,2025-03-03 15:20:00,128.04892,0.23333333333333334,0.20787659419947313,0.6442370078736952,0.3226709916674455,4
84928,2025-03-03 15:25:00,128.24892,0.3333333333333333,0.23594499195299315,0.6442433428033668,0.3662358246905584,6
84933,2025-03-03 15:50:00,128.14892,0.2,0.2074416823783084,0.6467470973872088,0.3207462131895934,4
84939,2025-03-04 09:50:00,122.74892,0.5666666666666667,0.7076926774158148,0.772940486858384,0.9155849505208753,5
84940,2025-03-04 09:55:00,124.14892,0.7,0.5465514260873872,0.7854793819077002,0.6958189338591845,8
84941,2025-03-04 10:00:00,124.24892,0.9666666666666667,0.43886483429720163,0.7837785044294814,0.5599347670508709,9
84944,2025-03-04 10:15:00,124.04892,0.5333333333333333,0.4457704596686868,0.7780715698569194,0.5729170386609295,6
84953,2025-03-04 11:00:00,125.44892,0.5666666666666667,0.34224566484163593,0.7690179671586855,0.44504248204517455,8
84956,2025-03-04 11:15:00,125.84892,0.4666666666666667,0.30320711182873544,0.7700190211477205,0.39376574279529153,8
84959,2025-03-04 11:30:00,126.04892,0.2,0.2287176634699625,0.7746559412826802,0.29525064132503825,8
84963,2025-03-04 11:50:00,125.54892,0.43333333333333335,0.27038542960603096,0.7755063250534711,0.34865664001823315,4
84967,2025-03-04 13:10:00,125.94892,0.2,0.2477326072236244,0.7763544631308711,0.3190972925235361,7
84981,2025-03-04 14:20:00,125.94892,0.8,0.2623994795315432,0.5979917416224644,0.43880117611591746,4
84983,2025-03-04 14:30:00,126.04892,0.4666666666666667,0.276406894762394,0.5898765043452168,0.4685843438860396,3
84992,2025-03-04 15:15:00,125.84892,0.5333333333333333,0.27893840840732625,0.5760286443239827,0.48424398882920755,3
84995,2025-03-04 15:30:00,125.74892,0.13333333333333333,0.26150502813433846,0.5733922706589463,0.4560665385911378,3
84996,2025-03-04 15:35:00,125.64892,0.13333333333333333,0.2723237711690652,0.5734154026155367,0.47491534047900824,3
84999,2025-03-04 15:50:00,126.14892,0.1,0.2802780600990665,0.5725767176030356,0.48950306829168305,6
