variant,head,slice,subset,n,mean_predicted,realised,p_low,p_high,gap
baseline,lstm,test[80:100],all,171,0.45362413208387053,0.5029239766081871,0.44764021039009094,0.45878875255584717,-0.04929984452431657
baseline,lstm,test[80:100],all,171,0.4631897397557197,0.45614035087719296,0.45879054069519043,0.46704715490341187,0.007049388878526741
baseline,lstm,test[80:100],all,171,0.47076246891802515,0.52046783625731,0.4670524001121521,0.4737902283668518,-0.04970536733928482
baseline,lstm,test[80:100],all,171,0.47718296064967997,0.5029239766081871,0.47381019592285156,0.47994643449783325,-0.02574101595850714
baseline,lstm,test[80:100],all,171,0.48367719779237667,0.4327485380116959,0.479951411485672,0.48731550574302673,0.050928659780680785
baseline,lstm,test[80:100],all,171,0.4915312465868498,0.4853801169590643,0.48738759756088257,0.49573642015457153,0.006151129627785523
baseline,lstm,test[80:100],all,171,0.5006431959874449,0.43859649122807015,0.4957742989063263,0.5054082870483398,0.06204670475937474
baseline,lstm,test[80:100],all,171,0.5122861768070021,0.47368421052631576,0.5054111480712891,0.5203018188476562,0.038601966280686295
baseline,lstm,test[80:100],all,172,0.5353927917258684,0.5406976744186046,0.5205127000808716,0.5849499702453613,-0.0053048826927362125
baseline,lstm,test[80:100],>=0.52,104,0.4275651448048078,0.4519230769230769,0.3748134970664978,0.4401509761810303,-0.024357932118269143
baseline,lstm,test[80:100],>=0.52,103,0.4458547069609744,0.5728155339805825,0.440243124961853,0.4508401155471802,-0.1269608270196081
baseline,lstm,test[80:100],>=0.52,103,0.45372411377221633,0.47572815533980584,0.45085784792900085,0.4569024443626404,-0.022004041567589505
baseline,lstm,test[80:100],>=0.52,104,0.4600180152517099,0.5288461538461539,0.45691484212875366,0.4627915024757385,-0.06882813859444398
baseline,lstm,test[80:100],>=0.52,103,0.46486475108896647,0.4368932038834951,0.46282079815864563,0.4671049118041992,0.027971547205471348
baseline,lstm,test[80:100],>=0.52,103,0.4695503801396749,0.46601941747572817,0.467121422290802,0.47165146470069885,0.0035309626639467573
baseline,lstm,test[80:100],>=0.52,104,0.4735756914776105,0.5576923076923077,0.4718126356601715,0.4756447374820709,-0.08411661621469718
baseline,lstm,test[80:100],>=0.52,103,0.4774393126802537,0.5145631067961165,0.47566109895706177,0.4791242182254791,-0.03712379411586281
baseline,lstm,test[80:100],>=0.52,103,0.5107536104697625,0.6019417475728155,0.47912630438804626,0.5289933681488037,-0.09118813710305296
baseline,lstm,test[80:100],>=0.52,104,0.5425590775333918,0.5,0.5289970636367798,0.5849499702453613,0.04255907753339183
baseline,consensus,test[80:100],all,172,0.4403957620609638,0.4941860465116279,0.37982186675071716,0.45299050211906433,-0.05379028445066408
baseline,consensus,test[80:100],all,171,0.45991341734838764,0.4853801169590643,0.4531765580177307,0.4643910229206085,-0.025466699610676657
baseline,consensus,test[80:100],all,171,0.46758494295223413,0.5555555555555556,0.4644092619419098,0.4707171320915222,-0.08797061260332145
baseline,consensus,test[80:100],all,171,0.47339800122188547,0.5146198830409356,0.4707392752170563,0.47595977783203125,-0.04122188181905018
baseline,consensus,test[80:100],all,171,0.47843666845246363,0.4619883040935672,0.4760609567165375,0.4810882806777954,0.016448364358896406
baseline,consensus,test[80:100],all,171,0.48408069866791104,0.38011695906432746,0.48116010427474976,0.48773884773254395,0.10396373960358357
baseline,consensus,test[80:100],all,171,0.4964189137283124,0.45614035087719296,0.48779675364494324,0.5069235563278198,0.04027856285111947
baseline,consensus,test[80:100],all,173,0.5101981626425175,0.5086705202312138,0.5070021450519562,0.513457179069519,0.0015276424113036535
baseline,consensus,test[80:100],all,169,0.5156980430233408,0.47928994082840237,0.513507217168808,0.5190012454986572,0.036408102194938397
baseline,consensus,test[80:100],all,172,0.5287578615338303,0.5406976744186046,0.5190408825874329,0.5849499702453613,-0.011939812884774303
baseline,consensus,test[80:100],>=0.52,99,0.4333572204064841,0.46464646464646464,0.37982186675071716,0.44592583179473877,-0.03128924423998053
baseline,consensus,test[80:100],>=0.52,98,0.45105888648908965,0.5102040816326531,0.4460816979408264,0.45585939288139343,-0.05914519514356342
baseline,consensus,test[80:100],>=0.52,98,0.45955746940204073,0.5306122448979592,0.45590174198150635,0.4624938517808914,-0.07105477549591849
baseline,consensus,test[80:100],>=0.52,98,0.464466603738921,0.5408163265306123,0.4625511169433594,0.4662644565105438,-0.07634972279169128
baseline,consensus,test[80:100],>=0.52,98,0.4681161009535498,0.5,0.46627019345760345,0.46953432261943817,-0.031883899046450226
baseline,consensus,test[80:100],>=0.52,98,0.47151028486538904,0.5306122448979592,0.46956975758075714,0.47300779819488525,-0.05910196003257018
baseline,consensus,test[80:100],>=0.52,98,0.47458767708466976,0.5,0.4730376899242401,0.47606317698955536,-0.025412322915330243
baseline,consensus,test[80:100],>=0.52,98,0.4774348538140861,0.4489795918367347,0.47609543800354004,0.47896313667297363,0.02845526197735143
baseline,consensus,test[80:100],>=0.52,99,0.5050131654498553,0.5656565656565656,0.4789695143699646,0.5234020948410034,-0.06064340020671033
baseline,consensus,test[80:100],>=0.52,97,0.5346160613998925,0.5360824742268041,0.5234187245368958,0.5849499702453613,-0.0014664128269116228
with_macro,gbm,validation[70:80],all,90,0.4660923480987549,0.36666666666666664,0.41226017475128174,0.48090749979019165,0.09942568143208824
with_macro,gbm,validation[70:80],all,87,0.4909123480319977,0.47126436781609193,0.48095983266830444,0.494923859834671,0.019647980215905747
with_macro,gbm,validation[70:80],all,81,0.49766790866851807,0.4444444444444444,0.4950326681137085,0.501080334186554,0.05322346422407365
with_macro,gbm,validation[70:80],all,89,0.5027114152908325,0.5842696629213483,0.5011742115020752,0.5046803951263428,-0.08155824763051578
with_macro,gbm,validation[70:80],all,98,0.5067078471183777,0.5,0.5046989321708679,0.5079904794692993,0.0067078471183776855
with_macro,gbm,validation[70:80],all,72,0.5101457238197327,0.5555555555555556,0.508459746837616,0.5115140080451965,-0.045409831735822914
with_macro,gbm,validation[70:80],all,82,0.5122554302215576,0.5853658536585366,0.5115211606025696,0.5138453841209412,-0.07311042343697893
with_macro,gbm,validation[70:80],all,92,0.5157239437103271,0.5217391304347826,0.5142816305160522,0.5159896016120911,-0.006015186724455446
with_macro,gbm,validation[70:80],all,89,0.5184827446937561,0.6067415730337079,0.5160731673240662,0.5188931822776794,-0.0882588283399518
with_macro,gbm,validation[70:80],all,76,0.5241214036941528,0.6447368421052632,0.5192368030548096,0.576593279838562,-0.12061543841111033
with_macro,gbm,validation[70:80],>=0.52,16,0.4422786831855774,0.375,0.41226017475128174,0.4546722173690796,0.06727868318557739
with_macro,gbm,validation[70:80],>=0.52,15,0.461661696434021,0.26666666666666666,0.4547567665576935,0.46559813618659973,0.19499502976735433
with_macro,gbm,validation[70:80],>=0.52,15,0.46688851714134216,0.26666666666666666,0.46606090664863586,0.46908554434776306,0.2002218504746755
with_macro,gbm,validation[70:80],>=0.52,16,0.4713965058326721,0.3125,0.4693944454193115,0.4747728705406189,0.15889650583267212
with_macro,gbm,validation[70:80],>=0.52,16,0.4775291979312897,0.5,0.47617924213409424,0.4783836305141449,-0.022470802068710327
with_macro,gbm,validation[70:80],>=0.52,47,0.5168267488479614,0.5319148936170213,0.4787648916244507,0.5213794112205505,-0.015088144769059841
with_macro,gbm,validation[70:80],>=0.52,13,0.5218477845191956,0.7692307692307693,0.5214100480079651,0.525138258934021,-0.24738298471157372
with_macro,gbm,validation[70:80],>=0.52,16,0.5347523093223572,0.6875,0.5257537364959717,0.576593279838562,-0.15274769067764282
with_macro,lstm,validation[70:80],all,86,0.42056525308032366,0.4883720930232558,0.35430002212524414,0.440591961145401,-0.06780683994293213
with_macro,lstm,validation[70:80],all,86,0.45121742091899697,0.5348837209302325,0.4407155513763428,0.45935139060020447,-0.08366630001123554
with_macro,lstm,validation[70:80],all,85,0.4662596425589393,0.6235294117647059,0.45948293805122375,0.47227728366851807,-0.15726976920576657
with_macro,lstm,validation[70:80],all,86,0.47835691411827885,0.5697674418604651,0.47258350253105164,0.4841279685497284,-0.09141052774218628
with_macro,lstm,validation[70:80],all,85,0.4887771192718955,0.5058823529411764,0.48426446318626404,0.49314457178115845,-0.01710523366928096
with_macro,lstm,validation[70:80],all,86,0.49780842107395795,0.5232558139534884,0.49322620034217834,0.5017716884613037,-0.02544739287953046
with_macro,lstm,validation[70:80],all,85,0.5060350074487574,0.49411764705882355,0.5018032789230347,0.5104559659957886,0.011917360389933851
with_macro,lstm,validation[70:80],all,86,0.5143286405607711,0.5348837209302325,0.5105815529823303,0.5186750888824463,-0.02055508036946141
