scale,arm,horizon,model,seed,profit_accuracy,n_transactions,n_test_rows,transaction_rate,accuracy_3class,threshold_scope,threshold_tau,threshold_upper_bound,iter_selection_block,hybrid_selection_block,iters_self,iters_me,iters_ti,min_conf,tie_break
primary,A0,1,HYBRID,45,0.5344827586206896,116,243,0.4773662551440329,0.35390946502057613,train_only,0.0023,0.009539999999999882,val,val,,150,50,0.7,ti
primary,A1,1,ME_LSTM,45,,0,243,0.0,0.3292181069958848,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,TI_LSTM,45,0.49557522123893805,226,243,0.9300411522633745,0.3374485596707819,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,ME_TI_LSTM,45,0.3617021276595745,47,243,0.1934156378600823,0.3292181069958848,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,HYBRID,45,,0,243,0.0,0.3292181069958848,full_series,0.00226,0.009539999999999882,val,val,,50,50,0.0,ti
primary,A2,1,ME_LSTM,45,0.49382716049382713,243,243,1.0,0.3292181069958848,train_only,0.0023,0.009539999999999882,test,val,50,,,,
primary,A2,1,TI_LSTM,45,0.49557522123893805,226,243,0.9300411522633745,0.3333333333333333,train_only,0.0023,0.009539999999999882,test,val,50,,,,
primary,A2,1,ME_TI_LSTM,45,0.5368421052631579,95,243,0.39094650205761317,0.3333333333333333,train_only,0.0023,0.009539999999999882,test,val,200,,,,
primary,A2,1,HYBRID,45,0.504424778761062,226,243,0.9300411522633745,0.345679012345679,train_only,0.0023,0.009539999999999882,test,val,,50,50,0.4,ti
primary,A3,1,ME_LSTM,45,0.49382716049382713,243,243,1.0,0.3292181069958848,train_only,0.0023,0.009539999999999882,val,test,150,,,,
primary,A3,1,TI_LSTM,45,0.49557522123893805,226,243,0.9300411522633745,0.3333333333333333,train_only,0.0023,0.009539999999999882,val,test,50,,,,
primary,A3,1,ME_TI_LSTM,45,0.47435897435897434,156,243,0.6419753086419753,0.32098765432098764,train_only,0.0023,0.009539999999999882,val,test,50,,,,
primary,A3,1,HYBRID,45,0.5344827586206896,116,243,0.4773662551440329,0.35390946502057613,train_only,0.0023,0.009539999999999882,val,test,,150,50,0.7,ti
primary,A4,1,ME_LSTM,45,,0,243,0.0,0.3292181069958848,full_series,0.00226,0.009539999999999882,test,test,50,,,,
