record,scale,arm,horizon,model,comparison,profit_accuracy_mean,profit_accuracy_sd,n_transactions_mean,transaction_rate_mean,n_test_rows,n_seeds,delta,ci_low,ci_high,distinguishable_from_zero
arm_mean,secondary,A3,5,HYBRID,,0.5213533123133248,0.08955704480257144,254.4,0.17703549060542795,1437,5,,,,
arm_mean,secondary,A3,5,ME_LSTM,,0.49135090556971467,0.03618411224232004,1046.0,0.7279053583855254,1437,5,,,,
arm_mean,secondary,A3,5,ME_TI_LSTM,,0.479282617945813,0.04359185847161309,1026.2,0.7141266527487822,1437,5,,,,
arm_mean,secondary,A3,5,TI_LSTM,,0.4981772113500124,0.009854167301319003,1037.6,0.7220598469032707,1437,5,,,,
arm_mean,secondary,A4,1,HYBRID,,0.5034737169197625,0.036497306841328916,439.6,0.30591510090466245,1437,5,,,,
arm_mean,secondary,A4,1,ME_LSTM,,0.5035205357481355,0.009692542040164022,1046.8,0.7284620737647878,1437,5,,,,
arm_mean,secondary,A4,1,ME_TI_LSTM,,0.49724186689029504,0.01833281424274766,834.4,0.5806541405706332,1437,5,,,,
arm_mean,secondary,A4,1,TI_LSTM,,0.5067196041645532,0.007388292528346443,1040.4,0.724008350730689,1437,5,,,,
arm_mean,secondary,A4,3,HYBRID,,0.5063306875162419,0.06827359947162281,342.2,0.23813500347947114,1437,5,,,,
arm_mean,secondary,A4,3,ME_LSTM,,0.4880211965438274,0.025357209500516825,1046.4,0.7281837160751566,1437,5,,,,
arm_mean,secondary,A4,3,ME_TI_LSTM,,0.48089959377679736,0.030462215837409736,1026.4,0.7142658315935977,1437,5,,,,
arm_mean,secondary,A4,3,TI_LSTM,,0.5085278717220325,0.006215172550858806,1038.6,0.7227557411273486,1437,5,,,,
arm_mean,secondary,A4,5,HYBRID,,0.5213533123133248,0.08955704480257144,254.4,0.17703549060542795,1437,5,,,,
arm_mean,secondary,A4,5,ME_LSTM,,0.49135090556971467,0.03618411224232004,1046.0,0.7279053583855254,1437,5,,,,
arm_mean,secondary,A4,5,ME_TI_LSTM,,0.479282617945813,0.04359185847161309,1026.2,0.7141266527487822,1437,5,,,,
arm_mean,secondary,A4,5,TI_LSTM,,0.4981772113500124,0.009854167301319003,1037.6,0.7220598469032707,1437,5,,,,
gap,primary,A1,1,ME_LSTM,A1-A0,,,,,243,5,0.015661219027052364,-0.08916237530179892,0.11893942395721405,no
