time,open,high,low,close,ma_10,macd_12_26,roc_2,mom_4,rsi_10,bb_pctb_20,cci_20,rate_de,rate_eu,rate_fed,infl_eu,infl_us,sp500,dax
2019-03-27,1.12753,1.12854,1.12418,1.12484,1.1324779999999999,-0.0011140308260517706,-0.5771763437248612,-0.012719999999999843,39.31057942429207,0.2086448565747937,-98.15733727982405,0.010952381,-0.4,2.41,1.3835511145272816,1.8831863513063984,2805.3701171875,11419.0400390625
2019-03-28,1.12492,1.1261,1.12132,1.12277,1.131704,-0.001689174916063907,-0.41774576932628316,-0.00714999999999999,36.8902919557531,0.15365252360270382,-125.06806888571512,0.010952381,-0.4,2.41,1.3835511145272816,1.8831863513063984,2815.43994140625,11428.16015625
2019-03-29,1.1228,1.12464,1.12095,1.12169,1.130635,-0.00220669037215826,-0.2800398278866356,-0.009679999999999911,35.61898634535082,0.14735817305101181,-122.17702229325197,0.010952381,-0.4,2.43,1.3835511145272816,1.8831863513063984,2834.39990234375,11526.0400390625
2019-04-01,1.12276,1.12497,1.11974,1.12016,1.129309,-0.0027090550130051128,-0.23246078894163524,-0.007319999999999993,33.786237847492956,0.12933406931157207,-117.2597265478667,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2867.18994140625,11681.990234375
2019-04-02,1.12031,1.12159,1.11834,1.12019,1.1278020000000002,-0.0030693799593892734,-0.1337267872585146,-0.004650000000000043,33.860380875774254,0.16807525187474737,-122.17819487892206,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2867.239990234375,11754.7900390625
2019-04-03,1.12018,1.12544,1.12014,1.12355,1.125953,-0.003048672952033371,0.3026353378088764,0.0007800000000000029,41.94953764470844,0.3177494044356704,-72.21665887798139,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2873.39990234375,11954.400390625
2019-04-04,1.12361,1.12474,1.12057,1.12202,1.124399,-0.003119758083569124,0.16336514341317443,0.00032999999999994145,39.504965316454765,0.244137442268273,-79.59319329965405,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2879.389892578125,11988.009765625
2019-04-05,1.12206,1.1247,1.12098,1.12131,1.1235380000000001,-0.0031965369406574684,-0.19936807440701365,0.0011499999999999844,38.352587754164034,0.22254113257003724,-81.56792140388383,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2892.739990234375,12009.75
2019-04-08,1.12156,1.12743,1.12146,1.126,1.123001,-0.0028461324903348295,0.35471738471684056,0.005809999999999871,49.223744630081704,0.4102176742750356,-46.147707245702456,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2895.77001953125,11963.400390625
2019-04-09,1.12603,1.1284,1.12548,1.12636,1.122889,-0.0025104465820724453,0.4503660896629791,0.002809999999999979,49.97610440809337,0.4297473560144753,-21.252392671586698,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2878.199951171875,11850.5703125
2019-04-10,1.12638,1.12879,1.12292,1.12741,1.123146,-0.002135075040475609,0.12522202486680012,0.005390000000000006,52.26812081285385,0.4836475651780257,-23.066160526651437,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2888.2099609375,11905.91015625
2019-04-11,1.12743,1.12873,1.12497,1.1256,1.123429,-0.0019610366527234024,-0.0674739870023866,0.004289999999999905,48.05123774938926,0.4198063830083601,-19.536605429120026,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2888.320068359375,11935.2001953125
2019-04-12,1.12567,1.13237,1.12562,1.12972,1.1242320000000001,-0.0014736728258211151,0.2048944039878986,0.0037200000000001676,56.85488166048234,0.5945012496312475,21.778549932119414,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2907.409912109375,11999.9296875
2019-04-15,1.13024,1.13209,1.12972,1.13005,1.125221,-0.0010487162910590708,0.3953447050462078,0.003689999999999971,57.49593176900741,0.6176323850136375,45.49723907122121,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2905.580078125,12020.2802734375
2019-04-16,1.13002,1.13136,1.12788,1.12848,1.12605,-0.0008290641194814707,-0.1097617108664184,0.0010699999999999044,53.30892698021534,0.5690832275110024,31.629389553851155,-0.0395,-0.4,2.41,2.1344580777096223,2.000583470209061,2907.06005859375,12101.3203125
2019-04-17,1.12844,1.13235,1.12783,1.12968,1.126663,-0.000551797442382318,-0.03274191407459659,0.0040800000000000836,56.028358363707504,0.6904151291030448,60.03936390931212,-0.0395,-0.4,2.42,2.1344580777096223,2.000583470209061,2900.449951171875,12153.0703125
2019-04-18,1.12973,1.13038,1.1226,1.12305,1.1267660000000002,-0.0008571663142578068,-0.48117822203316285,-0.006669999999999954,41.271741083759345,0.32400209057583046,-17.123313413763153,-0.0395,-0.4,2.43,2.1344580777096223,2.000583470209061,2905.030029296875,12222.3896484375
2019-04-19,1.12312,1.12478,1.12312,1.12405,1.1270399999999998,-0.001006875073541691,-0.4983712201685475,-0.006000000000000005,43.75436920220081,0.4105217480257386,-41.73666058024513,-0.0395,-0.4,2.44,2.1344580777096223,2.000583470209061,2905.030029296875,12222.3896484375
2019-04-22,1.1243,1.12619,1.12355,1.12572,1.1270120000000001,-0.000979474527983193,0.23774542540402344,-0.0027599999999998737,47.84538581375121,0.5565113751251918,-6.6502102142644715,-0.0395,-0.4,2.44,2.1344580777096223,2.000583470209061,2907.969970703125,12222.3896484375
2019-04-23,1.1258,1.12611,1.1192,1.12221,1.1265969999999998,-0.0012268447612007183,-0.16369378586362782,-0.007470000000000088,40.89839325625437,0.2995446313108888,-71.34195541416031,-0.0395,-0.4,2.44,2.1344580777096223,2.000583470209061,2933.679931640625,12235.509765625
2019-04-24,1.12224,1.12247,1.11405,1.11545,1.125401,-0.0019459314708591968,-0.912305013680137,-0.007600000000000051,31.203259491928733,-0.08348373376217148,-178.00695624038545,-0.0395,-0.4,2.44,2.1344580777096223,2.000583470209061,2927.25,12313.16015625
2019-04-25,1.11556,1.11623,1.11172,1.11335,1.124176,-0.0026546640043993985,-0.7895135491574501,-0.010699999999999932,28.84320934862167,-0.0811246321270855,-214.95552229047286,-0.0395,-0.4,2.44,2.1344580777096223,2.000583470209061,2926.169921875,12282.599609375
2019-04-26,1.11343,1.11739,1.111,1.11414,1.122618,-0.0031166662571229242,-0.11744139136672382,-0.011580000000000146,31.023856817892778,0.03340211523684485,-174.49990142105622,-0.0395,-0.4,2.44,2.1344580777096223,2.000583470209061,2939.8798828125,12315.1796875
2019-04-29,1.11485,1.11867,1.11448,1.11824,1.121437,-0.0031160507427938633,0.4392149818116309,-0.003970000000000029,41.38265778669514,0.24851626298347468,-109.28971065021346,-0.0395,-0.4,2.45,2.1344580777096223,2.000583470209061,2943.030029296875,12328.01953125
2019-04-30,1.11825,1.12289,1.11755,1.12134,1.120723,-0.0028327645051535733,0.6462383542463312,0.005889999999999951,47.94969111652176,0.39824198581070736,-51.11286756704299,-0.0395,-0.4,2.45,2.1344580777096223,2.000583470209061,2945.830078125,12344.080078125
2019-05-01,1.12146,1.12646,1.1187,1.11984,1.119739,-0.002698192501245922,0.1430819859779664,0.006489999999999885,45.22564223758359,0.3349074755214153,-30.88461457433396,-0.1345454545,-0.4,2.45,1.341093117408887,1.7959105553606136,2923.72998046875,12344.080078125
2019-05-02,1.11986,1.12189,1.11672,1.11715,1.119149,-0.0027765968571442645,-0.37366008525513417,0.003010000000000179,40.626688718284164,0.22411465256080834,-75.49594367263568,-0.1345454545,-0.4,2.41,1.341093117408887,1.7959105553606136,2917.52001953125,12345.419921875
2019-05-03,1.11719,1.12041,1.11346,1.11989,1.1187330000000002,-0.002587807143308085,0.0044649235605209725,0.0016500000000001513,46.754595896033855,0.3585349078741659,-78.08829179500034,-0.1345454545,-0.4,2.4,1.341093117408887,1.7959105553606136,2945.639892578125,12412.75
