month_end,pair,country,asof,price,eur_dem_splice,for_policy_rate,for_rate_3m,for_yield_10y,for_curve_slope,for_rate_change_3m,for_rate_change_12m,us_policy_rate,us_rate_3m,us_yield_10y,us_curve_slope,us_rate_change_3m,us_rate_change_12m,vix_level,us_equity_12m_return,own_return_1m,own_return_3m,own_return_12m,fwd_logret_1m,y
2015-05-31,NOKUSD,NO,2015-05-29,0.1284604020810585,0,1.25,1.49,1.65,0.15999999999999992,0.010000000000000009,-0.24,0.12,0.15,2.2,2.0500000000000003,0.009999999999999995,0.03,13.84,4.692673815119575,-2.8205745398015125,-1.5874582376910862,-26.366384321930504,-0.00932118576676677,0
2015-05-31,NZDUSD,NZ,2015-05-29,0.7111,0,3.41,3.53,3.65,0.1200000000000001,0.010000000000000231,0.41000000000000014,0.12,0.15,2.2,2.0500000000000003,0.009999999999999995,0.03,13.84,4.692673815119575,-6.532045413325033,-6.0831405137202035,-17.665701778480884,-0.047960807716521336,0
2015-05-31,SEKUSD,SE,2015-05-29,0.11730893307525368,0,-0.15,-0.27,0.75,1.02,-0.21,-1.0,0.12,0.15,2.2,2.0500000000000003,0.009999999999999995,0.03,13.84,4.692673815119575,-1.7359020229081867,-2.0024365761849072,-24.30033683505659,0.027448179978962095,1
2015-06-30,AUDUSD,AU,2015-06-30,0.7704,0,2.0,2.15,2.985,0.835,-0.25,-0.5,0.13,0.18,2.36,2.1799999999999997,0.020000000000000004,0.03,18.23,1.007893567065965,0.5858247568367891,1.0307352002349113,-20.183823791818885,-0.04949134451836584,0
2015-06-30,CADUSD,CA,2015-06-30,0.8017317405596087,0,0.744677272727273,0.61,1.78,1.17,-0.012363636363636021,-0.25519415584415595,0.13,0.18,2.36,2.1799999999999997,0.020000000000000004,0.03,18.23,1.007893567065965,-0.056136975691334356,1.653850210919039,-15.55680766012943,-0.04499191414003892,0
2015-06-30,CHFUSD,CH,2015-06-30,1.0699764605178685,0,-1.15,-0.767575833333333,0.101,0.868575833333333,0.3500000000000001,-0.9999999999999999,0.13,0.18,2.36,2.1799999999999997,0.020000000000000004,0.03,18.23,1.007893567065965,0.6186686399588595,3.8413790038907805,-5.249915252416937,-0.03055764047439044,0
2015-06-30,EURUSD,EZ,2015-06-30,1.1154,0,-0.1185,-0.0139090909090909,1.65945473225937,1.6733638231684609,-0.0681,-0.1943,0.13,0.18,2.36,2.1799999999999997,0.020000000000000004,0.03,18.23,1.007893567065965,1.4448508528893358,3.772998335145192,-20.48674613329956,-0.011360684805811608,0
2015-06-30,GBPUSD,GB,2015-06-30,1.5727,0,0.4566,0.57188,2.1696,1.5977199999999998,-0.00019999999999997797,0.03150000000000003,0.13,0.18,2.36,2.1799999999999997,0.020000000000000004,0.03,18.23,1.007893567065965,2.8441603687896055,5.737911525987971,-8.399183792097958,-0.005930950710449745,0
2015-06-30,JPYUSD,JP,2015-06-30,0.00819000819000819,0,0.07,0.169,0.455,0.28600000000000003,0.0,0.0,0.13,0.18,2.36,2.1799999999999997,0.020000000000000004,0.03,18.23,1.007893567065965,1.5279881157114872,-1.7682027235850661,-18.695142272079224,-0.014957196417302754,0
2015-06-30,NOKUSD,NO,2015-06-30,0.12726856211978516,0,1.15,1.35,1.77,0.41999999999999993,-0.13000000000000012,-0.3400000000000001,0.13,0.18,2.36,2.1799999999999997,0.020000000000000004,0.03,18.23,1.007893567065965,-0.9321185766766771,2.4377806161125726,-24.811420481975468,-0.03491663942545831,0
2015-06-30,NZDUSD,NZ,2015-06-30,0.6778,0,3.25,3.33,3.77,0.43999999999999995,-0.16999999999999993,0.1200000000000001,0.13,0.18,2.36,2.1799999999999997,0.020000000000000004,0.03,18.23,1.007893567065965,-4.796080771652134,-9.921894468673226,-25.59428925529556,-0.022831701312573616,0
2015-06-30,SEKUSD,SE,2015-06-30,0.12057344731543221,0,-0.15,-0.32,0.99,1.31,-0.12,-1.0,0.13,0.18,2.36,2.1799999999999997,0.020000000000000004,0.03,18.23,1.007893567065965,2.7448179978962095,3.9377446351501977,-21.527103160489137,-0.035393539297664756,0
2015-07-31,AUDUSD,AU,2015-07-31,0.7332,0,2.0,2.14,2.922,0.782,-0.25,-0.5,0.13,0.19,2.32,2.13,0.010000000000000009,0.04000000000000001,12.12,-1.1504956384978615,-4.949134451836584,-7.042846536964683,-23.78735912828714,-0.032153545930188876,0
2015-07-31,CADUSD,CA,2015-07-31,0.7664597225415805,0,0.605131818181818,0.47,1.56954545454545,1.09954545454545,-0.1453681818181819,-0.39499545454545204,0.13,0.19,2.32,2.13,0.010000000000000009,0.04000000000000001,12.12,-1.1504956384978615,-4.499191414003892,-7.403132911862017,-18.080511691968713,-0.01339951529107486,0
2015-07-31,CHFUSD,CH,2015-07-31,1.03777501037775,0,-1.0,-0.7443055,-0.035,0.7093054999999999,0.0,-0.85,0.13,0.19,2.32,2.13,0.010000000000000009,0.04000000000000001,12.12,-1.1504956384978615,-3.055764047439044,-2.373313115533678,-5.877131741541339,-0.0046591169853094985,0
2015-07-31,EURUSD,EZ,2015-07-31,1.1028,0,-0.1177,-0.0187391304347826,1.52966056724605,1.5483996976808325,-0.0432,-0.161,0.13,0.19,2.32,2.13,0.010000000000000009,0.04000000000000001,12.12,-1.1504956384978615,-1.1360684805811607,-1.2077659204691589,-19.407066654153084,0.01494042730761748,1
